batch_size	bow	commit_hash	dataset_class	dev_file	dropout	early_stopping_monitor	early_stopping_window	epochs	generate_empty_subdir	layer_pooling	lr_decay	mask_positions	min_epochs	mlp_layers	mlp_nonlinearity	model	model_name	numpy_random_seed	optimizer	optimizer_kwargs	overwrite_model	randomize_embedding_weights	remove_diacritics	save_metric	save_min_epoch	shift_target	shuffle_batches	sort_data_by_length	subword_pooling	target_only	tokenize_n_chars	torch_random_seed	train_base_model	train_file	train_size	use_character_tokenization	dev_acc	dev_loss	dev_size	epochs_run	exception	gpu	node	parameters	running_time	start_time	train_acc	train_loss	train_acc_list	dev_F_score	dev_acc_list	test_F_score	test_acc	experiment_dir
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	560342969	Adam	{}	True	False	False	dev_acc	0	-1	True	True	first	False	0	1366089221	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.805	[0.6719930768013, 0.6479052901268005, 0.6065073907375336, 0.5630615651607513, 0.5399258136749268, 0.501658022403717, 0.505447506904602, 0.4657047986984253, 0.46875087916851044, 0.46110785007476807, 0.4397635906934738, 0.4402771592140198, 0.45184971392154694, 0.4545091390609741, 0.4628845900297165, 0.4697107672691345, 0.44830361008644104]	200	17		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:05:33.489267	2021-11-15 12:07:16.512590	[0.546, 0.6315, 0.678, 0.7325, 0.7655, 0.796, 0.8125, 0.822, 0.8585, 0.858, 0.87, 0.8805, 0.8945, 0.897, 0.9175, 0.9185, 0.926]	[0.6861881874501705, 0.6434485837817192, 0.6028974764049053, 0.5516570582985878, 0.5060923583805561, 0.4628302622586489, 0.4232427775859833, 0.4020747281610966, 0.3659807611256838, 0.3341417834162712, 0.3167355787009001, 0.290833855047822, 0.2690437901765108, 0.25756728183478117, 0.23493121471256018, 0.2227037800475955, 0.21187718957662582]	[0.546, 0.6315, 0.678, 0.7325, 0.7655, 0.796, 0.8125, 0.822, 0.8585, 0.858, 0.87, 0.8805, 0.8945, 0.897, 0.9175, 0.9185, 0.926]	0.8028261583963194	[0.565, 0.635, 0.65, 0.66, 0.71, 0.755, 0.725, 0.78, 0.765, 0.775, 0.805, 0.795, 0.78, 0.765, 0.76, 0.775, 0.785]	0.7495993589743589	0.75	/home1/morph/botond/exps/hung/shift/0000
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	633334545	Adam	{}	True	False	False	dev_acc	0	1	True	True	first	False	0	1794851264	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.835	[0.5759616494178772, 0.4865799993276596, 0.45365914702415466, 0.42492595314979553, 0.42100536823272705, 0.40020664036273956, 0.39810363948345184, 0.3895294815301895, 0.38484299182891846, 0.37872713804244995, 0.3835117220878601, 0.38435816764831543, 0.3851444274187088, 0.37694133818149567, 0.38032543659210205, 0.3912407010793686, 0.3778613358736038, 0.38627541065216064, 0.39939090609550476]	200	19		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:03:20.422304	2021-11-15 12:13:58.159723	[0.681, 0.8045, 0.837, 0.867, 0.8865, 0.9, 0.915, 0.927, 0.941, 0.9505, 0.964, 0.968, 0.975, 0.978, 0.9825, 0.984, 0.9875, 0.983, 0.993]	[0.6284307427704334, 0.4767830800265074, 0.38588123582303524, 0.3311970569193363, 0.2906056335195899, 0.26078564766794443, 0.23167345486581326, 0.21143437270075083, 0.19086270034313202, 0.1691326228901744, 0.14869313966482878, 0.13521873578429222, 0.1204907689243555, 0.10740065248683095, 0.09710584301501513, 0.08845810405910015, 0.08341392711736262, 0.0802336756605655, 0.06580145750194788]	[0.681, 0.8045, 0.837, 0.867, 0.8865, 0.9, 0.915, 0.927, 0.941, 0.9505, 0.964, 0.968, 0.975, 0.978, 0.9825, 0.984, 0.9875, 0.983, 0.993]	0.8349628666449951	[0.76, 0.775, 0.775, 0.825, 0.8, 0.835, 0.815, 0.815, 0.82, 0.825, 0.825, 0.83, 0.82, 0.83, 0.83, 0.835, 0.82, 0.825, 0.82]	0.8399839983998401	0.84	/home1/morph/botond/exps/hung/shift/0001
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1268749897	Adam	{}	True	False	False	dev_acc	0	-1	True	True	last	False	0	868330224	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.885	[0.6079954206943512, 0.5270273089408875, 0.47232291102409363, 0.41798658668994904, 0.3839104473590851, 0.3581257313489914, 0.3395603448152542, 0.31759005784988403, 0.3157150372862816, 0.3024236112833023, 0.30429311096668243, 0.30070021003484726, 0.2924404442310333, 0.2959200590848923, 0.2834552079439163, 0.30853410065174103, 0.2869288846850395, 0.30615369230508804, 0.28634582459926605, 0.2973219156265259, 0.2928149700164795, 0.3061178922653198, 0.31104017049074173, 0.2965007647871971, 0.3097449541091919, 0.32138027250766754, 0.3068021237850189, 0.3186478689312935, 0.3467205613851547]	200	29		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:11:40.036733	2021-11-15 12:29:15.751514	[0.6315, 0.752, 0.8115, 0.866, 0.889, 0.908, 0.917, 0.9325, 0.9455, 0.951, 0.959, 0.9665, 0.972, 0.973, 0.9785, 0.979, 0.983, 0.986, 0.989, 0.9925, 0.995, 0.9955, 0.997, 0.9975, 0.999, 0.999, 0.9995, 0.999, 0.9995]	[0.6414024159312248, 0.5178944170475006, 0.43081478774547577, 0.356981223449111, 0.3050378058105707, 0.2588138859719038, 0.22783815674483776, 0.2041395315900445, 0.17732343170791864, 0.1581919128075242, 0.14351538941264153, 0.12880176678299904, 0.11431276518851519, 0.10652387794107199, 0.0936362212523818, 0.08691756683401763, 0.07709793350659311, 0.07008988549932837, 0.0643686440307647, 0.05737491394393146, 0.052205998450517654, 0.04570165975019336, 0.042227785917930305, 0.037349927122704685, 0.033447287627495825, 0.0313000368187204, 0.02934095251839608, 0.027108644135296345, 0.023835097905248404]	[0.6315, 0.752, 0.8115, 0.866, 0.889, 0.908, 0.917, 0.9325, 0.9455, 0.951, 0.959, 0.9665, 0.972, 0.973, 0.9785, 0.979, 0.983, 0.986, 0.989, 0.9925, 0.995, 0.9955, 0.997, 0.9975, 0.999, 0.999, 0.9995, 0.999, 0.9995]	0.8848589522164652	[0.655, 0.72, 0.755, 0.8, 0.83, 0.83, 0.84, 0.84, 0.84, 0.84, 0.855, 0.84, 0.86, 0.86, 0.865, 0.855, 0.865, 0.865, 0.88, 0.87, 0.88, 0.875, 0.88, 0.88, 0.88, 0.87, 0.885, 0.875, 0.865]	0.8697916666666666	0.87	/home1/morph/botond/exps/hung/shift/0002
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1795618888	Adam	{}	True	False	False	dev_acc	0	1	True	True	last	False	0	808344756	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.87	[0.66787388920784, 0.6301712095737457, 0.5897940099239349, 0.5524954199790955, 0.512505978345871, 0.49722476303577423, 0.46230335533618927, 0.4379100501537323, 0.42795392870903015, 0.4180232733488083, 0.39999163150787354, 0.4024573415517807, 0.40077054500579834, 0.39789798855781555, 0.40474851429462433, 0.36190953850746155, 0.36716146767139435, 0.39287444949150085, 0.40566031634807587, 0.37182682752609253, 0.41684867441654205, 0.35699987411499023]	200	22		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:03:12.445887	2021-11-15 12:41:34.423030	[0.554, 0.655, 0.7085, 0.728, 0.7805, 0.807, 0.8125, 0.845, 0.8435, 0.8645, 0.8815, 0.896, 0.8885, 0.917, 0.9195, 0.929, 0.9305, 0.9275, 0.936, 0.929, 0.939, 0.936]	[0.6868417747318745, 0.6461842432618141, 0.5981547459959984, 0.5596328042447567, 0.5089286956936121, 0.464014895260334, 0.43490096367895603, 0.40314907766878605, 0.38269178569316864, 0.35556855611503124, 0.3269816394895315, 0.30441124364733696, 0.28514058981090784, 0.27049893140792847, 0.25508761685341597, 0.23511693067848682, 0.22562631778419018, 0.21662055607885122, 0.20928053464740515, 0.21469103824347258, 0.19963018456473947, 0.19674255000427365]	[0.554, 0.655, 0.7085, 0.728, 0.7805, 0.807, 0.8125, 0.845, 0.8435, 0.8645, 0.8815, 0.896, 0.8885, 0.917, 0.9195, 0.929, 0.9305, 0.9275, 0.936, 0.929, 0.939, 0.936]	0.8698828946051447	[0.635, 0.695, 0.72, 0.75, 0.785, 0.785, 0.81, 0.84, 0.825, 0.845, 0.865, 0.87, 0.83, 0.85, 0.81, 0.85, 0.865, 0.815, 0.82, 0.865, 0.835, 0.85]	0.7941302000954031	0.795	/home1/morph/botond/exps/hung/shift/0003
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	920908990	Adam	{}	True	False	False	dev_acc	0	-1	True	True	first	False	0	1019258554	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.84	[0.5929822325706482, 0.4986656457185745, 0.45617739856243134, 0.4162522107362747, 0.41700947284698486, 0.40369202196598053, 0.39194998145103455, 0.40198615193367004, 0.3911731690168381, 0.3893778771162033, 0.41598933935165405, 0.42386576533317566, 0.4071912616491318, 0.41667547821998596]	200	14		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:02:13.795400	2021-11-15 12:45:27.210287	[0.657, 0.788, 0.8485, 0.8705, 0.8845, 0.899, 0.908, 0.92, 0.926, 0.935, 0.9355, 0.9415, 0.9455, 0.9505]	[0.6387473717331886, 0.5210088137537241, 0.4205825421959162, 0.3546902798116207, 0.309764395467937, 0.27520529832690954, 0.2485601557418704, 0.22907207999378443, 0.21101373806595802, 0.1985476678237319, 0.1874595102854073, 0.177820292301476, 0.1672834656201303, 0.15998989529907703]	[0.657, 0.788, 0.8485, 0.8705, 0.8845, 0.899, 0.908, 0.92, 0.926, 0.935, 0.9355, 0.9415, 0.9455, 0.9505]	0.8397435897435896	[0.7, 0.795, 0.775, 0.805, 0.82, 0.825, 0.83, 0.83, 0.835, 0.84, 0.82, 0.82, 0.825, 0.83]	0.8845120634681529	0.885	/home1/morph/botond/exps/hung/shift/0004
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1145069773	Adam	{}	True	False	False	dev_acc	0	1	True	True	first	False	0	1814848909	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.885	[0.5238412320613861, 0.4259468764066696, 0.35451632738113403, 0.3298492431640625, 0.32354338467121124, 0.31942642480134964, 0.3200308084487915, 0.3198118582367897, 0.3174309656023979, 0.3187943249940872, 0.3301112949848175, 0.34028276801109314, 0.33908744156360626, 0.341019406914711, 0.3480658233165741, 0.3580690771341324, 0.3692080080509186, 0.37656764686107635, 0.37266257405281067, 0.37673965096473694, 0.3862241804599762, 0.39493800699710846, 0.39715486764907837]	200	23		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:02:55.018166	2021-11-15 12:48:13.450358	[0.728, 0.833, 0.8875, 0.926, 0.9445, 0.952, 0.962, 0.9705, 0.979, 0.984, 0.9885, 0.9905, 0.9915, 0.994, 0.996, 0.9955, 0.9975, 0.9975, 0.999, 0.998, 0.9985, 1.0, 1.0]	[0.5795680359005928, 0.39901276119053364, 0.28805169370025396, 0.2199097666889429, 0.17567402543500066, 0.1460683662444353, 0.12494524195790291, 0.10510527179576457, 0.09050496364943683, 0.07818680722266436, 0.06541590427514166, 0.05759527802001685, 0.049173278152011335, 0.04348429013043642, 0.038860524888150394, 0.033734356169588864, 0.02892215922474861, 0.024719104345422238, 0.021495058084838092, 0.018223932711407542, 0.016063585178926587, 0.014094187616137788, 0.012344692106125876]	[0.728, 0.833, 0.8875, 0.926, 0.9445, 0.952, 0.962, 0.9705, 0.979, 0.984, 0.9885, 0.9905, 0.9915, 0.994, 0.996, 0.9955, 0.9975, 0.9975, 0.999, 0.998, 0.9985, 1.0, 1.0]	0.8849741191768148	[0.765, 0.805, 0.84, 0.86, 0.855, 0.865, 0.855, 0.865, 0.86, 0.875, 0.88, 0.87, 0.875, 0.87, 0.88, 0.875, 0.88, 0.88, 0.88, 0.885, 0.87, 0.875, 0.875]	0.8695303091128062	0.87	/home1/morph/botond/exps/hung/shift/0005
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1408835003	Adam	{}	True	False	False	dev_acc	0	-1	True	True	last	False	0	666111828	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.975	[0.32022154331207275, 0.19139858335256577, 0.1451558992266655, 0.12608256936073303, 0.12286827340722084, 0.11588115245103836, 0.10407700948417187, 0.09661530889570713, 0.10534480214118958, 0.10871332325041294, 0.11270314641296864, 0.11090474016964436, 0.11568477936089039, 0.1122338455170393, 0.11772928759455681, 0.11412869952619076, 0.12330781668424606, 0.11857710964977741, 0.12129195593297482, 0.12528002820909023]	200	20		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:02:39.845617	2021-11-15 12:51:54.272314	[0.8355, 0.9, 0.9425, 0.9695, 0.98, 0.9855, 0.991, 0.9935, 0.995, 0.9975, 0.998, 0.998, 0.999, 1.0, 0.9995, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.5189256202429533, 0.26078684721142054, 0.15987068647518754, 0.10967123741284013, 0.07870524167083204, 0.061598793137818575, 0.04581939603667706, 0.035825583967380226, 0.029062786255963147, 0.023844135575927794, 0.01968072133604437, 0.016133181285113096, 0.013354043825529516, 0.01111643758486025, 0.009551527997246012, 0.008116800745483488, 0.0068986978876637295, 0.006189507097587921, 0.00531322589085903, 0.004581266170134768]	[0.8355, 0.9, 0.9425, 0.9695, 0.98, 0.9855, 0.991, 0.9935, 0.995, 0.9975, 0.998, 0.998, 0.999, 1.0, 0.9995, 1.0, 1.0, 1.0, 1.0, 1.0]	0.9749843652282677	[0.89, 0.905, 0.94, 0.95, 0.97, 0.97, 0.97, 0.965, 0.97, 0.97, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975, 0.975]	0.9749943737340901	0.975	/home1/morph/botond/exps/hung/shift/0006
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1391823110	Adam	{}	True	False	False	dev_acc	0	1	True	True	last	False	0	1212893978	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.965	[0.41805049777030945, 0.34127122163772583, 0.2771575003862381, 0.24057257175445557, 0.2012140154838562, 0.17253806442022324, 0.16825884580612183, 0.1718546226620674, 0.15661799162626266, 0.16106241941452026, 0.15073692053556442, 0.15462249517440796, 0.14923755824565887, 0.17029443383216858, 0.15612834692001343, 0.14929261803627014, 0.15855646133422852, 0.1614183709025383, 0.16436797380447388, 0.16805563867092133, 0.17015156894922256]	200	21		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:02:40.702017	2021-11-15 12:55:08.222603	[0.736, 0.8225, 0.873, 0.9105, 0.934, 0.951, 0.9615, 0.9685, 0.975, 0.977, 0.98, 0.9825, 0.986, 0.988, 0.9875, 0.9915, 0.99, 0.992, 0.993, 0.9935, 0.9935]	[0.5688754133880138, 0.405865540727973, 0.31203790474683046, 0.24090989585965872, 0.19473168905824423, 0.157939194701612, 0.1330657503567636, 0.11482811393216252, 0.09933543601073325, 0.08629688993096352, 0.07615586905740201, 0.07118537253700197, 0.06425725063309073, 0.05701347393915057, 0.053147141356021166, 0.047006533946841955, 0.043155143270269036, 0.038876167964190245, 0.03552724595647305, 0.0319991001742892, 0.029687773203477263]	[0.736, 0.8225, 0.873, 0.9105, 0.934, 0.951, 0.9615, 0.9685, 0.975, 0.977, 0.98, 0.9825, 0.986, 0.988, 0.9875, 0.9915, 0.99, 0.992, 0.993, 0.9935, 0.9935]	0.9649991249781245	[0.84, 0.845, 0.91, 0.93, 0.94, 0.945, 0.945, 0.94, 0.94, 0.94, 0.945, 0.955, 0.965, 0.95, 0.96, 0.965, 0.96, 0.965, 0.955, 0.955, 0.96]	0.9149468417761102	0.915	/home1/morph/botond/exps/hung/shift/0007
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	172903751	Adam	{}	True	False	False	dev_acc	0	-1	True	True	first	False	0	1421639674	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.7064676616915423	[1.0662886500358582, 1.014428734779358, 0.9727140665054321, 0.9388827979564667, 0.8983915746212006, 0.866467148065567, 0.8505355715751648, 0.8323342204093933, 0.8316939771175385, 0.8124752640724182, 0.8132941722869873, 0.8138908743858337, 0.825019896030426, 0.8314487934112549, 0.8041922450065613, 0.8021475076675415, 0.8170458674430847, 0.8417715132236481, 0.8258282244205475, 0.8313661813735962]	201	20		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:03:07.340167	2021-11-15 12:58:24.499928	[0.4107946026986507, 0.5502248875562219, 0.5947026486756621, 0.6286856571714143, 0.6681659170414792, 0.7136431784107946, 0.7396301849075462, 0.7646176911544228, 0.777111444277861, 0.7946026986506747, 0.8055972013993004, 0.8145927036481759, 0.8300849575212393, 0.8260869565217391, 0.8465767116441779, 0.8480759620189905, 0.8520739630184908, 0.8655672163918041, 0.8620689655172413, 0.8735632183908046]	[1.086421750485897, 1.0176596641540527, 0.9464269578456879, 0.8707051128149033, 0.7976444959640503, 0.7306359075009823, 0.6704941168427467, 0.6197401843965054, 0.5837927106767893, 0.5451964922249317, 0.516677338629961, 0.4943869076669216, 0.46174609288573265, 0.4439431708306074, 0.42841266840696335, 0.4047544542700052, 0.3891277592629194, 0.37144251726567745, 0.3562196847051382, 0.341069296002388]	[0.4107946026986507, 0.5502248875562219, 0.5947026486756621, 0.6286856571714143, 0.6681659170414792, 0.7136431784107946, 0.7396301849075462, 0.7646176911544228, 0.777111444277861, 0.7946026986506747, 0.8055972013993004, 0.8145927036481759, 0.8300849575212393, 0.8260869565217391, 0.8465767116441779, 0.8480759620189905, 0.8520739630184908, 0.8655672163918041, 0.8620689655172413, 0.8735632183908046]	0.7091158806042102	[0.5024875621890548, 0.5174129353233831, 0.5522388059701493, 0.5771144278606966, 0.6318407960199005, 0.6517412935323383, 0.6517412935323383, 0.6716417910447762, 0.6616915422885572, 0.6766169154228856, 0.6915422885572139, 0.6915422885572139, 0.6915422885572139, 0.6915422885572139, 0.7064676616915423, 0.6965174129353234, 0.7014925373134329, 0.6915422885572139, 0.681592039800995, 0.7014925373134329]	0.690765503802942	0.6915422885572139	/home1/morph/botond/exps/hung/shift/0008
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1960518090	Adam	{}	True	False	False	dev_acc	0	1	True	True	first	False	0	314458965	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.8059701492537313	[0.9564081728458405, 0.789829820394516, 0.6900809109210968, 0.621512770652771, 0.5847690105438232, 0.5476686358451843, 0.5301338136196136, 0.5113680213689804, 0.5166330337524414, 0.49762238562107086, 0.49354419112205505, 0.4902684837579727, 0.4862726181745529, 0.4891732186079025, 0.4873955398797989, 0.486567959189415, 0.4848247766494751, 0.4899127930402756, 0.4874519258737564, 0.5052706748247147, 0.5024404972791672, 0.5110274404287338, 0.5088662505149841, 0.5182128846645355, 0.5178036540746689, 0.5227827578783035, 0.5342551171779633]	201	27		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:04:59.448946	2021-11-15 13:01:57.435911	[0.5442278860569715, 0.7191404297851074, 0.7801099450274862, 0.8180909545227386, 0.8510744627686156, 0.8745627186406797, 0.8860569715142429, 0.9020489755122438, 0.9185407296351824, 0.9305347326336831, 0.9385307346326837, 0.9415292353823088, 0.9560219890054973, 0.9560219890054973, 0.9660169915042479, 0.968015992003998, 0.9770114942528736, 0.9805097451274363, 0.9860069965017492, 0.9880059970014993, 0.992503748125937, 0.9930034982508745, 0.9930034982508745, 0.9960019990004998, 0.9965017491254373, 0.9975012493753124, 0.9975012493753124]	[0.997855756431818, 0.7719915024936199, 0.607904314994812, 0.5047568175941706, 0.43440514989197254, 0.3810485918074846, 0.3389977291226387, 0.30348847806453705, 0.2704556258395314, 0.2440192112699151, 0.22211561631411314, 0.20099815912544727, 0.183544191531837, 0.17356452997773886, 0.159570072311908, 0.140801970846951, 0.1290422030724585, 0.11782757518813014, 0.11003973428159952, 0.10059059481136501, 0.09106587874703109, 0.08562183356843889, 0.08108755247667432, 0.07426503184251487, 0.06760251126252115, 0.061841647140681744, 0.05733760888688266]	[0.5442278860569715, 0.7191404297851074, 0.7801099450274862, 0.8180909545227386, 0.8510744627686156, 0.8745627186406797, 0.8860569715142429, 0.9020489755122438, 0.9185407296351824, 0.9305347326336831, 0.9385307346326837, 0.9415292353823088, 0.9560219890054973, 0.9560219890054973, 0.9660169915042479, 0.968015992003998, 0.9770114942528736, 0.9805097451274363, 0.9860069965017492, 0.9880059970014993, 0.992503748125937, 0.9930034982508745, 0.9930034982508745, 0.9960019990004998, 0.9965017491254373, 0.9975012493753124, 0.9975012493753124]	0.8030517164375434	[0.5522388059701493, 0.6616915422885572, 0.7114427860696517, 0.736318407960199, 0.746268656716418, 0.7611940298507462, 0.7761194029850746, 0.7711442786069652, 0.7761194029850746, 0.746268656716418, 0.7910447761194029, 0.7611940298507462, 0.746268656716418, 0.7512437810945274, 0.7611940298507462, 0.7661691542288557, 0.7661691542288557, 0.7860696517412935, 0.7810945273631841, 0.7810945273631841, 0.7860696517412935, 0.8059701492537313, 0.7910447761194029, 0.7761194029850746, 0.7810945273631841, 0.7910447761194029, 0.7711442786069652]	0.8410033824466021	0.8407960199004975	/home1/morph/botond/exps/hung/shift/0009
