batch_size	bow	commit_hash	dataset_class	dev_file	dropout	early_stopping_monitor	early_stopping_window	epochs	generate_empty_subdir	layer_pooling	lr_decay	mask_positions	min_epochs	mlp_layers	mlp_nonlinearity	model	model_name	numpy_random_seed	optimizer	optimizer_kwargs	overwrite_model	randomize_embedding_weights	remove_diacritics	save_metric	save_min_epoch	shift_target	shuffle_batches	sort_data_by_length	subword_pooling	target_only	tokenize_n_chars	torch_random_seed	train_base_model	train_file	train_size	use_character_tokenization	dev_acc	dev_loss	dev_size	epochs_run	exception	gpu	node	parameters	running_time	start_time	train_acc	train_loss	train_acc_list	dev_F_score	dev_acc_list	test_F_score	test_acc	experiment_dir
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1754495446	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	1343628511	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.615	[0.6818110346794128, 0.6767066121101379, 0.6703941226005554, 0.6701082587242126, 0.6661246418952942, 0.6658940613269806, 0.6732768714427948, 0.6813518106937408, 0.6823194921016693, 0.6945020854473114, 0.6935789585113525, 0.7050274610519409]	200	12		Tesla V100-PCIE-16GB	cn03	38565	0 days 00:00:03.420182	2021-11-16 16:44:06.251454	[0.5125, 0.556, 0.5755, 0.5955, 0.6345, 0.646, 0.6545, 0.681, 0.6885, 0.7085, 0.731, 0.7505]	[0.7222662530839443, 0.6830562613904476, 0.6752012260258198, 0.6634750477969646, 0.650504507124424, 0.6394592523574829, 0.6254399046301842, 0.6105007454752922, 0.5960886776447296, 0.5745481736958027, 0.5519186407327652, 0.5324822030961514]	[0.5125, 0.556, 0.5755, 0.5955, 0.6345, 0.646, 0.6545, 0.681, 0.6885, 0.7085, 0.731, 0.7505]	0.6133664733499034	[0.555, 0.555, 0.58, 0.615, 0.61, 0.56, 0.605, 0.595, 0.595, 0.585, 0.61, 0.565]	0.5711294432251066	0.575	/home1/morph/botond/exps/hung/bert_rand/0000
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1175437641	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	1086893045	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.945	[0.4007757902145386, 0.30390749871730804, 0.26530593633651733, 0.25037477165460587, 0.21742498129606247, 0.19920231401920319, 0.18407943844795227, 0.1776469498872757, 0.16334977746009827, 0.17309346422553062, 0.1818511039018631, 0.18774014711380005, 0.16568350046873093, 0.1558627001941204, 0.1695297509431839, 0.1670929305255413, 0.15409508347511292, 0.16990898549556732, 0.16660484671592712, 0.1850493848323822, 0.16319440305233002, 0.17031050473451614]	200	22		Tesla V100-PCIE-16GB	cn03	38565	0 days 00:00:04.060781	2021-11-16 16:44:14.239482	[0.7025, 0.8585, 0.8825, 0.9165, 0.9355, 0.9415, 0.947, 0.95, 0.953, 0.9595, 0.9645, 0.9565, 0.9685, 0.9715, 0.974, 0.976, 0.97, 0.9755, 0.978, 0.982, 0.9775, 0.979]	[0.5713428277522326, 0.37862000428140163, 0.29347178898751736, 0.2356412373483181, 0.2020493159070611, 0.17674377746880054, 0.16026443056762218, 0.14746432192623615, 0.13092969683930278, 0.11949219228699803, 0.10952421464025974, 0.1167479264549911, 0.09673052141442895, 0.0897668139077723, 0.08371171308681369, 0.0773534148465842, 0.08081467379815876, 0.0680246923584491, 0.06636730092577636, 0.05995645048096776, 0.068043366773054, 0.06706227082759142]	[0.7025, 0.8585, 0.8825, 0.9165, 0.9355, 0.9415, 0.947, 0.95, 0.953, 0.9595, 0.9645, 0.9565, 0.9685, 0.9715, 0.974, 0.976, 0.97, 0.9755, 0.978, 0.982, 0.9775, 0.979]	0.9449656035021889	[0.88, 0.88, 0.91, 0.91, 0.915, 0.92, 0.93, 0.93, 0.935, 0.935, 0.935, 0.915, 0.94, 0.945, 0.925, 0.935, 0.925, 0.925, 0.935, 0.905, 0.935, 0.94]	0.8949973749343734	0.895	/home1/morph/botond/exps/hung/bert_rand/0001
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	314123216	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	60817605	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.565	[0.6928238272666931, 0.6784175932407379, 0.6807601153850555, 0.6869483888149261, 0.6795201301574707, 0.6848511695861816, 0.6903664171695709, 0.7006161510944366, 0.7264735102653503, 0.7174023687839508, 0.7445209622383118, 0.7406902313232422, 0.7603708207607269, 0.7725557088851929, 0.7850316166877747, 0.8338961005210876]	200	16		Tesla V100-PCIE-16GB	cn03	38565	0 days 00:00:03.754467	2021-11-16 16:44:21.440426	[0.4855, 0.5785, 0.5855, 0.62, 0.618, 0.647, 0.6835, 0.7225, 0.7205, 0.754, 0.787, 0.796, 0.819, 0.833, 0.8645, 0.872]	[0.7127406038343906, 0.6784433834254742, 0.6679743155837059, 0.6542686261236668, 0.6496972031891346, 0.6287034563720226, 0.605498768389225, 0.5820588767528534, 0.5702001601457596, 0.5379710737615824, 0.5054779034107924, 0.490726999938488, 0.4495961721986532, 0.42415487580001354, 0.3937738202512264, 0.37072934210300446]	[0.4855, 0.5785, 0.5855, 0.62, 0.618, 0.647, 0.6835, 0.7225, 0.7205, 0.754, 0.787, 0.796, 0.819, 0.833, 0.8645, 0.872]	0.564902102973169	[0.525, 0.55, 0.515, 0.52, 0.54, 0.525, 0.545, 0.55, 0.555, 0.565, 0.545, 0.555, 0.555, 0.55, 0.55, 0.535]	0.6045155315261195	0.605	/home1/morph/botond/exps/hung/bert_rand/0002
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	2071273157	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	568670015	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.925	[0.41265879571437836, 0.3491990566253662, 0.2921113222837448, 0.2725045457482338, 0.24383490532636642, 0.23007304966449738, 0.2118019387125969, 0.21262214332818985, 0.20150039345026016, 0.20464500039815903, 0.1909146085381508, 0.18308313935995102, 0.19973766058683395, 0.17375677824020386, 0.20315244793891907, 0.1909170299768448, 0.1900843232870102, 0.18225616216659546, 0.18854920566082]	200	19		Tesla V100-PCIE-16GB	cn03	38565	0 days 00:00:04.119269	2021-11-16 16:44:30.497410	[0.7195, 0.834, 0.872, 0.9025, 0.9165, 0.922, 0.942, 0.943, 0.9575, 0.964, 0.9645, 0.972, 0.9745, 0.979, 0.977, 0.9765, 0.974, 0.9845, 0.9845]	[0.5360540542751551, 0.36213204823434353, 0.29043544735759497, 0.2460931707173586, 0.21247319784015417, 0.1935712667182088, 0.16740022785961628, 0.15824437933042645, 0.13403630023822188, 0.12426922982558608, 0.11205130536109209, 0.09845462418161333, 0.09074938599951565, 0.08236231235787272, 0.08273850777186453, 0.07976209977641702, 0.0768123937305063, 0.06078110379166901, 0.057917472906410694]	[0.7195, 0.834, 0.872, 0.9025, 0.9165, 0.922, 0.942, 0.943, 0.9575, 0.964, 0.9645, 0.972, 0.9745, 0.979, 0.977, 0.9765, 0.974, 0.9845, 0.9845]	0.9249831212022706	[0.78, 0.84, 0.875, 0.9, 0.895, 0.895, 0.915, 0.915, 0.92, 0.915, 0.925, 0.925, 0.92, 0.925, 0.915, 0.9, 0.91, 0.915, 0.92]	0.9299369432489241	0.93	/home1/morph/botond/exps/hung/bert_rand/0003
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1274760999	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	382213495	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.39800995024875624	[1.1174458861351013, 1.1128477454185486, 1.121232807636261, 1.121948003768921, 1.1442471742630005, 1.174777865409851, 1.1660535335540771, 1.1680783033370972, 1.208114206790924, 1.2205844521522522, 1.2205831408500671, 1.2463088035583496, 1.283744215965271, 1.291816532611847, 1.2976264953613281]	201	15		Tesla V100-PCIE-16GB	cn03	38616	0 days 00:00:05.132758999	2021-11-16 16:44:37.530524	[0.3543228385807096, 0.43278360819590206, 0.45377311344327836, 0.47876061969015493, 0.527736131934033, 0.5422288855572214, 0.5737131434282858, 0.5997001499250375, 0.6286856571714143, 0.6496751624187906, 0.6781609195402298, 0.7056471764117941, 0.7181409295352323, 0.7221389305347327, 0.7576211894052973]	[1.1075890511274338, 1.0622518919408321, 1.03856648132205, 1.0177633427083492, 0.984098631888628, 0.9575159028172493, 0.9275704883038998, 0.8927276469767094, 0.8557710386812687, 0.8189520314335823, 0.7850010693073273, 0.749796025454998, 0.7216340340673923, 0.6898242942988873, 0.6575043927878141]	[0.3543228385807096, 0.43278360819590206, 0.45377311344327836, 0.47876061969015493, 0.527736131934033, 0.5422288855572214, 0.5737131434282858, 0.5997001499250375, 0.6286856571714143, 0.6496751624187906, 0.6781609195402298, 0.7056471764117941, 0.7181409295352323, 0.7221389305347327, 0.7576211894052973]	0.393609774485737	[0.3681592039800995, 0.3482587064676617, 0.3582089552238806, 0.39800995024875624, 0.34328358208955223, 0.3681592039800995, 0.35323383084577115, 0.39303482587064675, 0.38308457711442784, 0.39800995024875624, 0.35323383084577115, 0.3681592039800995, 0.373134328358209, 0.38308457711442784, 0.3582089552238806]	0.37028468607415976	0.373134328358209	/home1/morph/botond/exps/hung/bert_rand/0004
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	726420931	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	745655510	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.8159203980099502	[0.7983113527297974, 0.6392559111118317, 0.5399148315191269, 0.49914446473121643, 0.47816698253154755, 0.4794725030660629, 0.4617820829153061, 0.4414830803871155, 0.4348307102918625, 0.45156922936439514, 0.4250989258289337, 0.4457939863204956, 0.4509388357400894, 0.4335639774799347, 0.44715507328510284, 0.4490831345319748, 0.46060335636138916, 0.5312434136867523, 0.5031909495592117]	201	19		Tesla V100-PCIE-16GB	cn03	38616	0 days 00:00:03.908507	2021-11-16 16:44:45.613891	[0.5572213893053474, 0.7711144427786107, 0.816591704147926, 0.8455772113943029, 0.8665667166416792, 0.8755622188905547, 0.8820589705147426, 0.8915542228885557, 0.8940529735132434, 0.9070464767616192, 0.9105447276361819, 0.9170414792603698, 0.9145427286356822, 0.9215392303848076, 0.92103948025987, 0.9250374812593704, 0.935032483758121, 0.9270364817591205, 0.9345327336331835]	[0.9350154548883438, 0.6366426050662994, 0.490908607840538, 0.41244057193398476, 0.3611313719302416, 0.33216090872883797, 0.30881850980222225, 0.28055855724960566, 0.2642817422747612, 0.24775636103004217, 0.2345248507335782, 0.2237605033442378, 0.2150421654805541, 0.2045897450298071, 0.19583430141210556, 0.18446475453674793, 0.17856542486697435, 0.181784400716424, 0.17402287758886814]	[0.5572213893053474, 0.7711144427786107, 0.816591704147926, 0.8455772113943029, 0.8665667166416792, 0.8755622188905547, 0.8820589705147426, 0.8915542228885557, 0.8940529735132434, 0.9070464767616192, 0.9105447276361819, 0.9170414792603698, 0.9145427286356822, 0.9215392303848076, 0.92103948025987, 0.9250374812593704, 0.935032483758121, 0.9270364817591205, 0.9345327336331835]	0.8191901359114473	[0.6616915422885572, 0.7213930348258707, 0.7661691542288557, 0.7810945273631841, 0.8059701492537313, 0.7810945273631841, 0.7960199004975125, 0.7960199004975125, 0.7960199004975125, 0.7810945273631841, 0.7910447761194029, 0.8059701492537313, 0.8159203980099502, 0.8059701492537313, 0.8109452736318408, 0.8009950248756219, 0.8009950248756219, 0.7761194029850746, 0.7810945273631841]	0.8515028031785007	0.8507462686567164	/home1/morph/botond/exps/hung/bert_rand/0005
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1928189630	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	364269258	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.595	[0.6879460513591766, 0.6934687793254852, 0.7045864164829254, 0.6968595385551453, 0.6990031003952026, 0.7255432605743408, 0.6974712610244751, 0.7005959153175354, 0.7055701613426208, 0.710854560136795, 0.7232629656791687, 0.7254155874252319, 0.7325591742992401, 0.7476322948932648]	200	14		Tesla V100-PCIE-16GB	cn03	38565	0 days 00:00:03.588933	2021-11-16 16:44:52.876449	[0.5095, 0.6105, 0.6315, 0.6445, 0.6665, 0.6815, 0.706, 0.7275, 0.7475, 0.759, 0.769, 0.802, 0.8235, 0.826]	[0.6971156224608421, 0.6625619940459728, 0.6418051570653915, 0.6279368884861469, 0.6095847748219967, 0.5912229418754578, 0.5704861506819725, 0.5507246367633343, 0.5276700910180807, 0.5056210104376078, 0.4907663054764271, 0.45740111730992794, 0.4333939552307129, 0.4192059300839901]	[0.5095, 0.6105, 0.6315, 0.6445, 0.6665, 0.6815, 0.706, 0.7275, 0.7475, 0.759, 0.769, 0.802, 0.8235, 0.826]	0.5945032665014645	[0.52, 0.49, 0.56, 0.525, 0.54, 0.555, 0.575, 0.585, 0.595, 0.55, 0.565, 0.57, 0.59, 0.56]	0.5693108974358974	0.57	/home1/morph/botond/exps/hung/bert_rand/0006
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1313084129	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	1438546277	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.925	[0.45885300636291504, 0.40248778462409973, 0.3711496889591217, 0.30779728293418884, 0.28559888899326324, 0.2658650800585747, 0.24639371782541275, 0.24677958339452744, 0.27233609557151794, 0.2363085150718689, 0.23051804304122925, 0.24189812690019608, 0.2333260178565979, 0.24473270773887634, 0.2342238873243332, 0.23908346146345139, 0.2460150197148323, 0.2556901127099991, 0.25201453268527985]	200	19		Tesla V100-PCIE-16GB	cn03	38565	0 days 00:00:03.983705	2021-11-16 16:44:59.578250	[0.7155, 0.8365, 0.8755, 0.8925, 0.9095, 0.908, 0.9235, 0.929, 0.9365, 0.9315, 0.937, 0.9415, 0.9505, 0.953, 0.952, 0.95, 0.9545, 0.964, 0.9635]	[0.5339486692100763, 0.378610972315073, 0.30223689787089825, 0.25617785286158323, 0.21906268130987883, 0.2136537628248334, 0.1838929019868374, 0.16793721728026867, 0.1564387190155685, 0.15910913050174713, 0.14264608127996325, 0.1323434803634882, 0.12276411056518555, 0.11481342883780599, 0.11771592777222395, 0.1132434899918735, 0.1099653011187911, 0.09498963621445, 0.0939211449585855]	[0.7155, 0.8365, 0.8755, 0.8925, 0.9095, 0.908, 0.9235, 0.929, 0.9365, 0.9315, 0.937, 0.9415, 0.9505, 0.953, 0.952, 0.95, 0.9545, 0.964, 0.9635]	0.924908012315086	[0.75, 0.83, 0.815, 0.875, 0.845, 0.89, 0.91, 0.915, 0.855, 0.91, 0.9, 0.88, 0.925, 0.9, 0.905, 0.885, 0.905, 0.905, 0.9]	0.8845120634681529	0.885	/home1/morph/botond/exps/hung/bert_rand/0007
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	590043774	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	1549759127	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.69	[0.7328151762485504, 0.7062043845653534, 0.7274388074874878, 0.6822706162929535, 0.699353814125061, 0.6584598422050476, 0.6778140962123871, 0.6620250642299652, 0.6664401590824127, 0.685029000043869, 0.7232368886470795, 0.728271484375, 0.7421210706233978, 0.746365487575531, 0.7384499609470367]	200	15		Tesla V100-PCIE-16GB	cn03	38616	0 days 00:00:06.305013	2021-11-16 16:45:06.753891	[0.5467266366816592, 0.6786606696651675, 0.7331334332833583, 0.7566216891554223, 0.7776111944027986, 0.8045977011494253, 0.7991004497751124, 0.8245877061469266, 0.8515742128935532, 0.8510744627686156, 0.8655672163918041, 0.8575712143928036, 0.8820589705147426, 0.8900549725137431, 0.8885557221389305]	[0.8362775556743145, 0.6286370381712914, 0.5494588539004326, 0.5049428753554821, 0.4683380126953125, 0.44036836363375187, 0.4272957257926464, 0.4006989449262619, 0.3778082858771086, 0.3628419917076826, 0.34278018306940794, 0.33794363029301167, 0.3109827619045973, 0.29366664960980415, 0.2797758253291249]	[0.5467266366816592, 0.6786606696651675, 0.7331334332833583, 0.7566216891554223, 0.7776111944027986, 0.8045977011494253, 0.7991004497751124, 0.8245877061469266, 0.8515742128935532, 0.8510744627686156, 0.8655672163918041, 0.8575712143928036, 0.8820589705147426, 0.8900549725137431, 0.8885557221389305]	0.7151008849467173	[0.585, 0.61, 0.6, 0.67, 0.66, 0.67, 0.66, 0.68, 0.675, 0.67, 0.68, 0.655, 0.67, 0.69, 0.655]	0.6878108367782961	0.6417910447761194	/home1/morph/botond/exps/hung/bert_rand/0008
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1591772367	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	1924092473	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.685	[0.8251177668571472, 0.7470284700393677, 0.7166363596916199, 0.6728514432907104, 0.7655057311058044, 0.7388283312320709, 0.6602730751037598, 0.6832849383354187, 0.7263499200344086, 0.6910430192947388, 0.6834548115730286, 0.723698616027832, 0.6853821873664856, 0.7281607687473297, 0.7194162607192993, 0.7275813519954681]	200	16		Tesla V100-PCIE-16GB	cn03	38616	0 days 00:00:04.143325	2021-11-16 16:45:16.526835	[0.5157421289355323, 0.6356821589205397, 0.6786606696651675, 0.6986506746626686, 0.7101449275362319, 0.7251374312843578, 0.7261369315342329, 0.7361319340329835, 0.7486256871564217, 0.7636181909045477, 0.7671164417791104, 0.7701149425287356, 0.7816091954022989, 0.7941029485257372, 0.7936031984007996, 0.8025987006496752]	[0.956843625754118, 0.7593733295798302, 0.674810316413641, 0.6252820938825607, 0.6054957397282124, 0.5866061691194773, 0.5657527856528759, 0.541189793497324, 0.5223926529288292, 0.5090913344174623, 0.4925509449094534, 0.48417740873992443, 0.47037517465651035, 0.45079869218170643, 0.4410063084214926, 0.4311686381697655]	[0.5157421289355323, 0.6356821589205397, 0.6786606696651675, 0.6986506746626686, 0.7101449275362319, 0.7251374312843578, 0.7261369315342329, 0.7361319340329835, 0.7486256871564217, 0.7636181909045477, 0.7671164417791104, 0.7701149425287356, 0.7816091954022989, 0.7941029485257372, 0.7936031984007996, 0.8025987006496752]	0.6169448006782646	[0.615, 0.6, 0.635, 0.665, 0.595, 0.615, 0.685, 0.645, 0.605, 0.665, 0.675, 0.655, 0.655, 0.635, 0.64, 0.65]	0.6537942958662479	0.6965174129353234	/home1/morph/botond/exps/hung/bert_rand/0009
