ID,Name,Value,Language
405,01_SV,Yes,Hindi
404,02_VS,No,Hindi
375,03_VO,No,Hindi
376,04_OV,Yes,Hindi
378,05_SVO,No,Hindi
379,06_SOV,Yes,Hindi
380,07_VSO,No,Hindi
381,08_VOS,No,Hindi
382,09_OSV,No,Hindi
383,10_OVS,No,Hindi
390,11_P NP,No,Hindi
391,12_NP P,Yes,Hindi
437,13_A N,Yes,Hindi
377,14_N A,No,Hindi
384,15_Num N,Yes,Hindi
385,16_N Num,No,Hindi
386,17_Dem N,Yes,Hindi
387,18_N Dem,No,Hindi
394,19_Poss N,Yes,Hindi
395,20_N Poss,No,Hindi
426,21_Pron.Poss N,Yes,Hindi
425,22_N Pron.Poss,No,Hindi
406,A 01_Attr.Adj Agr,Yes,Hindi
407,A 02_Pred.Adj Agr ,Yes,Hindi
396,A 03_Deg A,Yes,Hindi
397,A 04_A Deg,Yes,Hindi
388,C 01_C Clause,Yes,Hindi
389,C 02_Clause C,No,Hindi
392,C 03_Adv.Sub Clause,Yes,Hindi
393,C 04_Clause Adv.Sub,No,Hindi
408,Extra Examples,Yes,Hindi
524,ISO 639-3 Code,hin,Hindi
434,N2 01_Num N_(indef),Yes,Hindi
433,N2 02_N Num_(indef),No,Hindi
435,N2 03_Num N_(def),Yes,Hindi
436,N2 04_N Num_(def),No,Hindi
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Hindi
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,Hindi
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,Hindi
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,Hindi
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Hindi
398,N3 01_ Dem A N,Yes,Hindi
399,N3 02_Dem N A,No,Hindi
403,N3 03_ N A Dem,No,Hindi
402,N3 04_N Dem A,No,Hindi
400,N3 05_A Dem N,No,Hindi
401,N3 06_A N Dem,No,Hindi
427,N3 07_Dem Num N,Yes,Hindi
428,N3 08_Dem N Num,No,Hindi
429,N3 09_ N Num Dem,No,Hindi
430,N3 10_N Dem Num,No,Hindi
431,N3 11_Num Dem N,No,Hindi
432,N3 12_Num N Dem,No,Hindi
415,Neg 01_ Neg is Part (...) Verb,No,Hindi
416,Neg 02_Neg is V (...) Part,No,Hindi
420,Neg 03_Dist.Neg of  Class/Property,No,Hindi
419,Neg 04_Dist.Neg of identity,No,Hindi
421,Neg 05_Dist Neg of Location,No,Hindi
422,Neg 06_Dist.Neg of Existence,No,Hindi
417,Neg F1_Neg is NegAux,Yes,Hindi
418,Neg F2_ Neg is lexical V,No,Hindi
412,Neg F3_Neg is Tonal,No,Hindi
413,Neg F4_Neg is Tone and other modification,No,Hindi
414,Neg F5_Neg is Reduplication,No,Hindi
411,Neg F6_Neg is Infix,No,Hindi
474,O 03 1_Indef_Sg_Can be bare,Yes,Hindi
475,O 03 3_Indef_Sg_Must have an article,No,Hindi
476,O 03 4_Indef_Sg_Can have a plural reading,Yes,Hindi
480,O 05 1_Indef_Pl_Can be bare,Yes,Hindi
481,O 05 3_Indef_Pl_Must have an article,No,Hindi
445,Q01_Initial polar Q-marker,Yes,Hindi
446,Q02_Final polar Q-marker,Yes,Hindi
447,Q03_Clause internal polar Q-marker,Yes,Hindi
448,Q04_Polar question by intonation,Yes,Hindi
449,Q05_Polar question by V-fronting,No,Hindi
450,Q06_Polar question by Aux-fronting,No,Hindi
423,V2 01_Declarative Verb-Second,NA,Hindi
424,V2 02_Interrogative Verb-Second,NA,Hindi
374,V_Aux 01_Aux.Selection,No,Hindi
523,latlong,"28.767659, 77.080078",Hindi
