ID,Name,Value,Language
405,01_SV,Yes,English
404,02_VS,No,English
375,03_VO,Yes,English
376,04_OV,No,English
378,05_SVO,Yes,English
379,06_SOV,No,English
380,07_VSO,No,English
381,08_VOS,No,English
382,09_OSV,No,English
383,10_OVS,No,English
390,11_P NP,Yes,English
391,12_NP P,No,English
437,13_A N,Yes,English
377,14_N A,Yes,English
384,15_Num N,Yes,English
385,16_N Num,No,English
386,17_Dem N,Yes,English
387,18_N Dem,No,English
394,19_Poss N,Yes,English
395,20_N Poss,Yes,English
426,21_Pron.Poss N,Yes,English
425,22_N Pron.Poss,No,English
406,A 01_Attr.Adj Agr,No,English
407,A 02_Pred.Adj Agr ,No,English
396,A 03_Deg A,Yes,English
397,A 04_A Deg,Yes,English
388,C 01_C Clause,Yes,English
389,C 02_Clause C,No,English
392,C 03_Adv.Sub Clause,Yes,English
393,C 04_Clause Adv.Sub,No,English
408,Extra Examples,Yes,English
524,ISO 639-3 Code,eng,English
434,N2 01_Num N_(indef),Yes,English
433,N2 02_N Num_(indef),No,English
435,N2 03_Num N_(def),Yes,English
436,N2 04_N Num_(def),No,English
438,N2 F1_ Def NumN/N Num has a Def Art?,Yes,English
439,N2 F2_Def NumN or NNum can have a DEM?,Yes,English
440,N2 F3_Def NumN or NNum can be bare,No,English
441,N2 F4a_Def NumN or NNum marks Pl but Indef Num N lacks Pl,No,English
442,N2 F5_Def NumN or NNum differs from Indef NumN,No,English
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,English
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,English
398,N3 01_ Dem A N,Yes,English
399,N3 02_Dem N A,Yes,English
403,N3 03_ N A Dem,No,English
402,N3 04_N Dem A,No,English
400,N3 05_A Dem N,No,English
401,N3 06_A N Dem,No,English
427,N3 07_Dem Num N,Yes,English
428,N3 08_Dem N Num,No,English
429,N3 09_ N Num Dem,No,English
430,N3 10_N Dem Num,No,English
431,N3 11_Num Dem N,No,English
432,N3 12_Num N Dem,No,English
415,Neg 01_ Neg is Part (...) Verb,Yes,English
416,Neg 02_Neg is V (...) Part,Yes,English
420,Neg 03_Dist.Neg of  Class/Property,No,English
419,Neg 04_Dist.Neg of identity,No,English
421,Neg 05_Dist Neg of Location,No,English
422,Neg 06_Dist.Neg of Existence,No,English
417,Neg F1_Neg is NegAux,No,English
418,Neg F2_ Neg is lexical V,No,English
412,Neg F3_Neg is Tonal,No,English
413,Neg F4_Neg is Tone and other modification,No,English
414,Neg F5_Neg is Reduplication,No,English
411,Neg F6_Neg is Infix,No,English
467,O 01 1_Indef Mass_Can be bare,Yes,English
469,O 01 2_Indef_Mass_Can have an article,No,English
468,O 01 3_Indef_Mass_Must have an article,No,English
470,O 02 1_Def_Mass _Can be bare,No,English
472,O 02 2_Def_Mass _Can  have an article,No,English
471,O 02 3_Def_Mass _Must have an article,Yes,English
501,O 02 4.1_DefMass_Art-N,Yes,English
502,O 02 4.2_DefMass_N-Art,No,English
474,O 03 1_Indef_Sg_Can be bare,No,English
473,O 03 2_Indef_Sg_Can have an article,No,English
475,O 03 3_Indef_Sg_Must have an article,Yes,English
476,O 03 4_Indef_Sg_Can have a plural reading,No,English
477,O 04 1_Def_Sg_Can be bare,No,English
479,O 04 2_Def_Sg_Can have an article,No,English
478,O 04 3_Def_Sg_Must have an article,Yes,English
503,O 04 4.1_DefSg_Art-N,Yes,English
504,O 04 4.2_DefSg_N-Art,No,English
480,O 05 1_Indef_Pl_Can be bare,Yes,English
482,O 05 2_Indef_Pl_Can have an article,No,English
481,O 05 3_Indef_Pl_Must have an article,No,English
483,O 06 1_Def_Pl_Can be bare,No,English
485,O 06 2_Def_Pl_Can have an article,No,English
484,O 06 3_Def_Pl_Must have an article,Yes,English
505,O 06 4.1_DefPl_Art-N,Yes,English
506,O 06 4.2_DefPl_N-Art,No,English
486,O 07 1_Unique Ref_Can be bare,No,English
488,O 07 2_Unique Ref_Can have an article,No,English
487,O 07 3_Unique Ref_Must have an article,Yes,English
489,O 07 4_Unique Ref_Must have a 'special article',No,English
490,O 08 1_PN_Can be bare,Yes,English
492,O 08 2_PN_Can have an article,No,English
491,O 08 3_PN_Must have an article,No,English
526,O 08 4_PN_Must have a 'special article',No,English
494,O 08 5.1_Art-PN,No,English
495,O 08 5.1_PN-Art,No,English
496,O 09 1_PN+A_Can be bare,Yes,English
498,O 09 2_PN+A_Can have an article,Yes,English
497,O 09 3_PN+A_Must have an article,No,English
499,O 09 4.1_ Adj-PN,Yes,English
500,O 09 5.2_ PN-Adj,No,English
445,Q01_Initial polar Q-marker,No,English
446,Q02_Final polar Q-marker,No,English
447,Q03_Clause internal polar Q-marker,No,English
448,Q04_Polar question by intonation,No,English
449,Q05_Polar question by V-fronting,No,English
450,Q06_Polar question by Aux-fronting,Yes,English
451,Q07_Q-marker follows narrow focus,No,English
452,Q08_Affirmative answer by particle,Yes,English
453,Q09_Affirmative answer by V,No,English
454,Q10_Affirmative answer by aux,No,English
455,Q11_Affirmative answer by auxiliary and verb,No,English
456,Q12_Affirmative answer by particle and verb,No,English
457,Q13_Affirmative answer by predicative 'be' ,No,English
458,Q14_Verb answer to indefinite subject question,No,English
459,Q15_Particle-and-verb answer to indefinite subject question,No,English
460,Q16_NEGA_Negative answer by special neg particle,Yes,English
461,Q17_NEGA_Neg answer by bare sentential negation,No,English
462,Q18_NEGA_Neg answer by sentential neg plus bare verb,No,English
464,Q20_ANegQ_Polarity-based confirmation,Yes,English
465,Q21_ANegQ_Polarity-reversing particle,No,English
466,Q22_ANegQ_Polarity-reversing answer by affirmative and special particle,No,English
729,S01A1_ Existential constructions: locative PP obligatory?,No,English
730,S01B1_Ex: Def Subj,No,English
731,S01B2_Ex: PN Subj,No,English
