ID,Name,Value,Language
405,01_SV,Yes,Lithuanian
404,02_VS,Yes,Lithuanian
375,03_VO,Yes,Lithuanian
376,04_OV,Yes,Lithuanian
378,05_SVO,Yes,Lithuanian
379,06_SOV,Yes,Lithuanian
380,07_VSO,Yes,Lithuanian
381,08_VOS,No,Lithuanian
382,09_OSV,No,Lithuanian
383,10_OVS,Yes,Lithuanian
390,11_P NP,Yes,Lithuanian
391,12_NP P,Yes,Lithuanian
437,13_A N,Yes,Lithuanian
384,15_Num N,Yes,Lithuanian
386,17_Dem N,Yes,Lithuanian
394,19_Poss N,Yes,Lithuanian
426,21_Pron.Poss N,Yes,Lithuanian
406,A 01_Attr.Adj Agr,Yes,Lithuanian
407,A 02_Pred.Adj Agr ,Yes,Lithuanian
388,C 01_C Clause,Yes,Lithuanian
389,C 02_Clause C,No,Lithuanian
392,C 03_Adv.Sub Clause,Yes,Lithuanian
393,C 04_Clause Adv.Sub,No,Lithuanian
524,ISO 639-3 Code,lit,Lithuanian
434,N2 01_Num N_(indef),Yes,Lithuanian
433,N2 02_N Num_(indef),No,Lithuanian
435,N2 03_Num N_(def),Yes,Lithuanian
436,N2 04_N Num_(def),No,Lithuanian
438,N2 F1_ Def NumN/N Num has a Def Art?,No,Lithuanian
443,"N2 F6_Num has different form in Def and Indef (Num N, N Num) contexts",No,Lithuanian
444,"N2 F7_ N has different form in Def/Indef  (Num N, N Num) contexts",No,Lithuanian
398,N3 01_ Dem A N,Yes,Lithuanian
403,N3 03_ N A Dem,No,Lithuanian
401,N3 06_A N Dem,No,Lithuanian
427,N3 07_Dem Num N,Yes,Lithuanian
429,N3 09_ N Num Dem,No,Lithuanian
430,N3 10_N Dem Num,No,Lithuanian
432,N3 12_Num N Dem,No,Lithuanian
417,Neg F1_Neg is NegAux,No,Lithuanian
418,Neg F2_ Neg is lexical V,No,Lithuanian
412,Neg F3_Neg is Tonal,No,Lithuanian
413,Neg F4_Neg is Tone and other modification,No,Lithuanian
414,Neg F5_Neg is Reduplication,No,Lithuanian
411,Neg F6_Neg is Infix,No,Lithuanian
445,Q01_Initial polar Q-marker,Yes,Lithuanian
446,Q02_Final polar Q-marker,No,Lithuanian
447,Q03_Clause internal polar Q-marker,No,Lithuanian
452,Q08_Affirmative answer by particle,Yes,Lithuanian
453,Q09_Affirmative answer by V,Yes,Lithuanian
454,Q10_Affirmative answer by aux,Yes,Lithuanian
455,Q11_Affirmative answer by auxiliary and verb,Yes,Lithuanian
456,Q12_Affirmative answer by particle and verb,Yes,Lithuanian
374,V_Aux 01_Aux.Selection,No,Lithuanian
523,latlong,"54.6833,25.2833",Lithuanian
