batch_size	bow	commit_hash	dataset_class	dev_file	dropout	early_stopping_monitor	early_stopping_window	epochs	generate_empty_subdir	layer_pooling	lr_decay	mask_positions	min_epochs	mlp_layers	mlp_nonlinearity	model	model_name	numpy_random_seed	optimizer	optimizer_kwargs	overwrite_model	randomize_embedding_weights	remove_diacritics	save_metric	save_min_epoch	shift_target	shuffle_batches	sort_data_by_length	subword_pooling	target_only	tokenize_n_chars	torch_random_seed	train_base_model	train_file	train_size	use_character_tokenization	dev_acc	dev_loss	dev_size	epochs_run	exception	gpu	node	parameters	running_time	start_time	train_acc	train_loss	train_acc_list	dev_F_score	dev_acc_list	test_F_score	test_acc	experiment_dir
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1016837235	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	365861994	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.805	[0.6697464287281036, 0.6403042376041412, 0.6046207845211029, 0.5659675002098083, 0.5501456260681152, 0.5188709795475006, 0.5098130106925964, 0.5025068521499634, 0.5038165003061295, 0.5000007450580597, 0.5010773986577988, 0.5220135450363159, 0.5105313211679459, 0.5049557536840439, 0.5093316435813904, 0.5142212510108948, 0.5234296172857285]	200	17		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.019615	2021-11-14 15:56:23.039354	[0.558, 0.6705, 0.7045, 0.774, 0.814, 0.836, 0.859, 0.887, 0.8925, 0.9155, 0.92, 0.934, 0.933, 0.9475, 0.955, 0.9645, 0.965]	[0.6839069984853268, 0.6353354565799236, 0.5815713405609131, 0.5152325350791216, 0.458066089078784, 0.4091477505862713, 0.36697665601968765, 0.3263177443295717, 0.29803858045488596, 0.2674815757200122, 0.2442555334419012, 0.22031309455633163, 0.21367065608501434, 0.1839603278785944, 0.16598575562238693, 0.1498236358165741, 0.13776253629475832]	[0.558, 0.6705, 0.7045, 0.774, 0.814, 0.836, 0.859, 0.887, 0.8925, 0.9155, 0.92, 0.934, 0.933, 0.9475, 0.955, 0.9645, 0.965]	0.8041726293590419	[0.59, 0.62, 0.68, 0.69, 0.72, 0.72, 0.745, 0.75, 0.755, 0.74, 0.74, 0.755, 0.71, 0.765, 0.745, 0.77, 0.735]	0.7849516141131756	0.785	/home1/morph/botond/exps/hung/bow/0000
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	795368743	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	2131545662	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.97	[0.2010284885764122, 0.09718670696020126, 0.08397949300706387, 0.08268030732870102, 0.08328937739133835, 0.08185254782438278, 0.08082933537662029, 0.08145924471318722, 0.07936535216867924, 0.07801592722535133, 0.0792863480746746, 0.07733966782689095, 0.07663854956626892, 0.0763465128839016, 0.07764642871916294, 0.07896578684449196, 0.07685617730021477, 0.07819809392094612, 0.08058214746415615]	200	19		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.069809	2021-11-14 15:56:31.646991	[0.914, 0.98, 0.985, 0.9885, 0.9885, 0.99, 0.99, 0.991, 0.9935, 0.9935, 0.9955, 0.9955, 0.996, 0.998, 0.9975, 0.998, 0.9995, 0.9995, 0.9995]	[0.43017531279474497, 0.1091924870852381, 0.05082611506804824, 0.03837449487764388, 0.03309342253487557, 0.029226675047539175, 0.026280064892489463, 0.023488851671572775, 0.021448374958708882, 0.019333997799549252, 0.016443264146801084, 0.014552511216606945, 0.01366938350838609, 0.012020629132166505, 0.010720255493652076, 0.00974854058586061, 0.0082715667958837, 0.007222546337288804, 0.006670370072242804]	[0.914, 0.98, 0.985, 0.9885, 0.9885, 0.99, 0.99, 0.991, 0.9935, 0.9935, 0.9955, 0.9955, 0.996, 0.998, 0.9975, 0.998, 0.9995, 0.9995, 0.9995]	0.97	[0.97, 0.96, 0.97, 0.97, 0.965, 0.965, 0.965, 0.96, 0.97, 0.97, 0.965, 0.96, 0.975, 0.96, 0.96, 0.97, 0.97, 0.965, 0.965]	0.96	0.96	/home1/morph/botond/exps/hung/bow/0001
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	770095902	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	1918892678	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.875	[0.5480520129203796, 0.4505055397748947, 0.42366479337215424, 0.36047109961509705, 0.31891143321990967, 0.3153470754623413, 0.2990414500236511, 0.277207151055336, 0.28191691637039185, 0.2831006944179535, 0.28710995614528656, 0.28449007123708725, 0.29444000124931335, 0.2904185950756073, 0.28440558910369873, 0.289152093231678, 0.2965220808982849, 0.31129953265190125, 0.305079348385334, 0.30782387405633926, 0.3088418245315552]	200	21		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.116418	2021-11-14 15:56:40.230558	[0.685, 0.787, 0.856, 0.885, 0.9175, 0.932, 0.9495, 0.9565, 0.9645, 0.971, 0.9745, 0.983, 0.985, 0.989, 0.99, 0.9925, 0.997, 0.9975, 0.9975, 0.999, 0.9985]	[0.6153952479362488, 0.47158974036574364, 0.3702930249273777, 0.30210878141224384, 0.2444443330168724, 0.20419292617589235, 0.1726357201114297, 0.14867649227380753, 0.12955936044454575, 0.11197335692122579, 0.1010967567563057, 0.08511245157569647, 0.07632130174897611, 0.0655580167658627, 0.05928151845000684, 0.05243203300051391, 0.04470734391361475, 0.039046357036568224, 0.03417035739403218, 0.030514854821376503, 0.026573754381388426]	[0.685, 0.787, 0.856, 0.885, 0.9175, 0.932, 0.9495, 0.9565, 0.9645, 0.971, 0.9745, 0.983, 0.985, 0.989, 0.99, 0.9925, 0.997, 0.9975, 0.9975, 0.999, 0.9985]	0.8749968749218731	[0.76, 0.775, 0.75, 0.82, 0.865, 0.865, 0.865, 0.865, 0.875, 0.865, 0.865, 0.865, 0.87, 0.875, 0.89, 0.885, 0.865, 0.875, 0.875, 0.875, 0.88]	0.8446854881134297	0.845	/home1/morph/botond/exps/hung/bow/0002
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1415048946	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	1992101672	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.975	[0.21675845235586166, 0.1668676622211933, 0.10155652835965157, 0.08071268908679485, 0.07820559106767178, 0.07210602425038815, 0.06615483947098255, 0.06220870278775692, 0.06572262197732925, 0.06114290468394756, 0.06719686463475227, 0.05655379220843315, 0.06211791932582855, 0.061707768589258194, 0.06010565906763077, 0.06050516478717327, 0.06580600515007973, 0.06212782673537731, 0.059664610773324966, 0.06636719591915607, 0.06319804303348064]	200	21		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.137903	2021-11-14 15:56:48.670580	[0.914, 0.9635, 0.969, 0.9805, 0.983, 0.9885, 0.991, 0.9925, 0.996, 0.9965, 0.997, 0.9985, 0.998, 0.999, 0.9995, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.38275423366576433, 0.11808618647046387, 0.07472515979316086, 0.05287226568907499, 0.04323264386039227, 0.0361370641621761, 0.02781917480751872, 0.02355079510016367, 0.020460488070966676, 0.017271726712351665, 0.015230308839818463, 0.013714647400774993, 0.011387259655748494, 0.010203247191384435, 0.008800585404969752, 0.007751422934234142, 0.006875184779346455, 0.006405353618902154, 0.005719943779695313, 0.00503951634891564, 0.004376849203254096]	[0.914, 0.9635, 0.969, 0.9805, 0.983, 0.9885, 0.991, 0.9925, 0.996, 0.9965, 0.997, 0.9985, 0.998, 0.999, 0.9995, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	0.9749943737340901	[0.935, 0.93, 0.945, 0.97, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.985, 0.98, 0.985, 0.98, 0.98, 0.985, 0.985, 0.98, 0.98, 0.985, 0.98]	0.9749843652282677	0.975	/home1/morph/botond/exps/hung/bow/0003
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	312233645	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	1075214962	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.7562189054726368	[1.0504868030548096, 1.0034723281860352, 0.9993363320827484, 0.9423727989196777, 0.8906642496585846, 0.8275357782840729, 0.8049500584602356, 0.7837290167808533, 0.7285703420639038, 0.7127628922462463, 0.6815555095672607, 0.6744757890701294, 0.679425060749054, 0.6565605998039246, 0.6378042697906494, 0.6423918008804321, 0.652810126543045, 0.6388526558876038, 0.651199460029602, 0.6357525885105133, 0.6362903714179993, 0.6389890015125275, 0.6552678644657135, 0.6531539857387543, 0.6535230576992035, 0.6643300354480743, 0.6715586483478546, 0.6650002002716064, 0.6754717230796814, 0.6934072077274323, 0.6947860717773438]	201	31		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:05.261239	2021-11-14 15:56:56.596502	[0.4222888555722139, 0.5657171414292853, 0.6276861569215393, 0.6901549225387307, 0.744127936031984, 0.7711144427786107, 0.7961019490254873, 0.8170914542728636, 0.8420789605197402, 0.8675662168915542, 0.8790604697651174, 0.8985507246376812, 0.9135432283858071, 0.9190404797601199, 0.9280359820089955, 0.9340329835082459, 0.9390304847576212, 0.9405297351324338, 0.9545227386306847, 0.9580209895052474, 0.9685157421289355, 0.9695152423788106, 0.9775112443778111, 0.9810094952523738, 0.984007996001999, 0.9845077461269365, 0.9870064967516242, 0.9910044977511244, 0.993503248375812, 0.9900049975012494, 0.9955022488755623]	[1.0802688375115395, 0.9902902357280254, 0.8970032185316086, 0.8023404702544212, 0.7072911225259304, 0.6280703935772181, 0.562095994129777, 0.5114674065262079, 0.45674517564475536, 0.4182082302868366, 0.37914573587477207, 0.3463069722056389, 0.3144873110577464, 0.2889983057975769, 0.2655737781897187, 0.24416246451437473, 0.2292474564164877, 0.21532880421727896, 0.1932915197685361, 0.17798415664583445, 0.16060559311881661, 0.1520424820482731, 0.13801313750445843, 0.12688567815348506, 0.12125308625400066, 0.10956749739125371, 0.10179984429851174, 0.09318921971134841, 0.08691274165175855, 0.08216810715384781, 0.07517303922213614]	[0.4222888555722139, 0.5657171414292853, 0.6276861569215393, 0.6901549225387307, 0.744127936031984, 0.7711144427786107, 0.7961019490254873, 0.8170914542728636, 0.8420789605197402, 0.8675662168915542, 0.8790604697651174, 0.8985507246376812, 0.9135432283858071, 0.9190404797601199, 0.9280359820089955, 0.9340329835082459, 0.9390304847576212, 0.9405297351324338, 0.9545227386306847, 0.9580209895052474, 0.9685157421289355, 0.9695152423788106, 0.9775112443778111, 0.9810094952523738, 0.984007996001999, 0.9845077461269365, 0.9870064967516242, 0.9910044977511244, 0.993503248375812, 0.9900049975012494, 0.9955022488755623]	0.7535133283164779	[0.46766169154228854, 0.5074626865671642, 0.527363184079602, 0.572139303482587, 0.6019900497512438, 0.6069651741293532, 0.6169154228855721, 0.6218905472636815, 0.6666666666666666, 0.6517412935323383, 0.681592039800995, 0.7014925373134329, 0.7114427860696517, 0.7213930348258707, 0.736318407960199, 0.746268656716418, 0.7164179104477612, 0.7412935323383084, 0.7263681592039801, 0.746268656716418, 0.7412935323383084, 0.7562189054726368, 0.7512437810945274, 0.7562189054726368, 0.746268656716418, 0.7512437810945274, 0.7562189054726368, 0.7562189054726368, 0.746268656716418, 0.7512437810945274, 0.746268656716418]	0.7672753463895551	0.7661691542288557	/home1/morph/botond/exps/hung/bow/0004
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	411636243	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	696012474	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.9601990049751243	[0.40312351286411285, 0.16083374619483948, 0.10791721940040588, 0.09433618187904358, 0.08431679755449295, 0.08631835132837296, 0.07997176609933376, 0.07749240845441818, 0.07680663652718067, 0.07419012114405632, 0.07488691993057728, 0.07280792109668255, 0.07128939405083656, 0.07322929799556732, 0.07209065183997154, 0.07049012370407581, 0.07172819599509239, 0.07948684133589268, 0.0700259655714035, 0.07343640178442001]	201	20		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:04.417416	2021-11-14 15:57:06.176598	[0.8620689655172413, 0.9650174912543729, 0.9760119940029985, 0.9785107446276862, 0.9815092453773113, 0.9850074962518741, 0.9880059970014993, 0.9885057471264368, 0.9895052473763118, 0.9900049975012494, 0.991504247876062, 0.9920039980009995, 0.992503748125937, 0.992503748125937, 0.993503248375812, 0.9930034982508745, 0.993503248375812, 0.993503248375812, 0.992503748125937, 0.9945027486256871]	[0.7544141858816147, 0.245885306969285, 0.1132834164891392, 0.08016846305690706, 0.06469352776184678, 0.056749619892798364, 0.05016513355076313, 0.045050543383695185, 0.04188802698627114, 0.03844033443601802, 0.03560035617556423, 0.032930030836723745, 0.03097353456541896, 0.02881935640471056, 0.028178087290143594, 0.025886841118335724, 0.02420198544859886, 0.023929643008159474, 0.02273448053165339, 0.020208520028972998]	[0.8620689655172413, 0.9650174912543729, 0.9760119940029985, 0.9785107446276862, 0.9815092453773113, 0.9850074962518741, 0.9880059970014993, 0.9885057471264368, 0.9895052473763118, 0.9900049975012494, 0.991504247876062, 0.9920039980009995, 0.992503748125937, 0.992503748125937, 0.993503248375812, 0.9930034982508745, 0.993503248375812, 0.993503248375812, 0.992503748125937, 0.9945027486256871]	0.9601571268237935	[0.9502487562189055, 0.9651741293532339, 0.9601990049751243, 0.9651741293532339, 0.9701492537313433, 0.9701492537313433, 0.9751243781094527, 0.9751243781094527, 0.9751243781094527, 0.9800995024875622, 0.9701492537313433, 0.9751243781094527, 0.9800995024875622, 0.9800995024875622, 0.9651741293532339, 0.9751243781094527, 0.9751243781094527, 0.9701492537313433, 0.9701492537313433, 0.9701492537313433]	0.9701478682887429	0.9701492537313433	/home1/morph/botond/exps/hung/bow/0005
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	768491627	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	359421554	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.935	[0.5980762839317322, 0.46753162145614624, 0.35733337700366974, 0.2972423583269119, 0.2486713007092476, 0.2459508255124092, 0.21734604984521866, 0.20714715868234634, 0.21991553902626038, 0.21874938160181046, 0.21622124314308167, 0.23331908136606216, 0.2449404075741768, 0.21628250926733017, 0.21781417727470398]	200	15		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.459894	2021-11-14 15:57:15.971440	[0.6505, 0.8605, 0.9095, 0.9465, 0.9605, 0.9695, 0.9745, 0.9795, 0.984, 0.984, 0.9895, 0.99, 0.9925, 0.996, 0.996]	[0.6501682735979557, 0.49481899850070477, 0.33806333504617214, 0.22986314166337252, 0.17221387848258018, 0.13448828365653753, 0.1090106014162302, 0.09304429078474641, 0.08013219246640801, 0.06799124670214951, 0.05819794861599803, 0.05054086819291115, 0.04386028018780053, 0.03887595422565937, 0.03272309771273285]	[0.6505, 0.8605, 0.9095, 0.9465, 0.9605, 0.9695, 0.9745, 0.9795, 0.984, 0.984, 0.9895, 0.99, 0.9925, 0.996, 0.996]	0.9349853717086344	[0.75, 0.845, 0.875, 0.895, 0.885, 0.9, 0.9, 0.915, 0.9, 0.895, 0.9, 0.885, 0.89, 0.89, 0.89]	0.8949343339587241	0.895	/home1/morph/botond/exps/hung/bow/0006
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	2037583568	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	157884633	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.985	[0.14044301956892014, 0.070722796022892, 0.05891805700957775, 0.05023609846830368, 0.05114111304283142, 0.05175761692225933, 0.054382527247071266, 0.05394752323627472, 0.05509468726813793, 0.056584625504910946, 0.059218624606728554, 0.05468057468533516]	200	12		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:03.792135	2021-11-14 15:57:24.978733	[0.908, 0.978, 0.987, 0.9895, 0.99, 0.9925, 0.9935, 0.995, 0.997, 0.9965, 0.998, 0.9985]	[0.3669206229969859, 0.0769321215339005, 0.03733325033681467, 0.02813560701906681, 0.023496489506214857, 0.019496641674777493, 0.01707337860716507, 0.014817075803875923, 0.013265166722703725, 0.011820475687272847, 0.010252856925944798, 0.008755516610108316]	[0.908, 0.978, 0.987, 0.9895, 0.99, 0.9925, 0.9935, 0.995, 0.997, 0.9965, 0.998, 0.9985]	0.9849996249906248	[0.965, 0.985, 0.98, 0.99, 0.99, 0.99, 0.99, 0.99, 0.985, 0.99, 0.98, 0.99]	0.9749993749843746	0.975	/home1/morph/botond/exps/hung/bow/0007
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	496288	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	1332728696	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.905	[0.5834746956825256, 0.43174314498901367, 0.4126102030277252, 0.4232335835695267, 0.39250099658966064, 0.389333039522171, 0.3832326680421829, 0.39848941564559937, 0.42188598215579987, 0.428313672542572, 0.43672142922878265, 0.44334784150123596, 0.445092037320137, 0.46004265546798706, 0.480499267578125, 0.5041562020778656, 0.49542236328125, 0.520061194896698]	200	18		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:05.653265	2021-11-14 15:57:34.939592	[0.7631184407796102, 0.9050474762618691, 0.9280359820089955, 0.9490254872563718, 0.9650174912543729, 0.974512743628186, 0.9790104947526237, 0.984007996001999, 0.9865067466266867, 0.9895052473763118, 0.9910044977511244, 0.9920039980009995, 0.992503748125937, 0.992503748125937, 0.993503248375812, 0.9930034982508745, 0.9945027486256871, 0.9970014992503748]	[0.7768177874386311, 0.36240195855498314, 0.22974418988451362, 0.17224726267158985, 0.1394572970457375, 0.11570518324151635, 0.09883958753198385, 0.085658228257671, 0.07578047749120742, 0.06690146576147527, 0.05991897115018219, 0.05380636849440634, 0.048994063516147435, 0.0428900154074654, 0.03909822041168809, 0.03531276056310162, 0.032065950392279774, 0.02849382907152176]	[0.7631184407796102, 0.9050474762618691, 0.9280359820089955, 0.9490254872563718, 0.9650174912543729, 0.974512743628186, 0.9790104947526237, 0.984007996001999, 0.9865067466266867, 0.9895052473763118, 0.9910044977511244, 0.9920039980009995, 0.992503748125937, 0.992503748125937, 0.993503248375812, 0.9930034982508745, 0.9945027486256871, 0.9970014992503748]	0.9065952095526878	[0.835, 0.87, 0.865, 0.86, 0.885, 0.9, 0.9, 0.895, 0.895, 0.895, 0.905, 0.9, 0.905, 0.9, 0.9, 0.9, 0.9, 0.89]	0.9414850098066685	0.9353233830845771	/home1/morph/botond/exps/hung/bow/0008
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1784552915	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	1127606257	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.915	[0.5821425914764404, 0.38624100387096405, 0.3148983269929886, 0.29048869013786316, 0.287214532494545, 0.2806546241044998, 0.2735791280865669, 0.29058846831321716, 0.2812907248735428, 0.27190081030130386, 0.2902146354317665, 0.2859964445233345, 0.2835483029484749, 0.2708955630660057, 0.2865184471011162, 0.2752451077103615, 0.28439561277627945, 0.2891646772623062, 0.27877087891101837, 0.28919675201177597, 0.29121942073106766]	200	21		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:05.760093	2021-11-14 15:57:45.213136	[0.7246376811594203, 0.8960519740129935, 0.9340329835082459, 0.9505247376311844, 0.9610194902548725, 0.9675162418790605, 0.9705147426286856, 0.974512743628186, 0.9775112443778111, 0.9765117441279361, 0.9810094952523738, 0.9805097451274363, 0.9835082458770614, 0.9835082458770614, 0.9860069965017492, 0.9865067466266867, 0.9850074962518741, 0.9855072463768116, 0.9875062468765617, 0.9885057471264368, 0.9870064967516242]	[0.8005934171378613, 0.38527302257716656, 0.24064350593835115, 0.18482966907322407, 0.1529958015307784, 0.13149014068767428, 0.11958295619115233, 0.10827534226700664, 0.09737018798477948, 0.09321175958029926, 0.0821858427952975, 0.0758670698851347, 0.07098364387638867, 0.06514233292546123, 0.0603978019207716, 0.05715222319122404, 0.05496083619073033, 0.05181172152515501, 0.047439007670618594, 0.04490504413843155, 0.04471551370806992]	[0.7246376811594203, 0.8960519740129935, 0.9340329835082459, 0.9505247376311844, 0.9610194902548725, 0.9675162418790605, 0.9705147426286856, 0.974512743628186, 0.9775112443778111, 0.9765117441279361, 0.9810094952523738, 0.9805097451274363, 0.9835082458770614, 0.9835082458770614, 0.9860069965017492, 0.9865067466266867, 0.9850074962518741, 0.9855072463768116, 0.9875062468765617, 0.9885057471264368, 0.9870064967516242]	0.9101143210330885	[0.83, 0.875, 0.885, 0.88, 0.88, 0.895, 0.91, 0.905, 0.905, 0.915, 0.9, 0.91, 0.91, 0.92, 0.91, 0.915, 0.91, 0.915, 0.915, 0.91, 0.915]	0.9521146109312139	0.9601990049751243	/home1/morph/botond/exps/hung/bow/0009
