batch_size	bow	commit_hash	dataset_class	dev_file	dropout	early_stopping_monitor	early_stopping_window	epochs	generate_empty_subdir	layer_pooling	lr_decay	mask_positions	min_epochs	mlp_layers	mlp_nonlinearity	model	model_name	numpy_random_seed	optimizer	optimizer_kwargs	overwrite_model	randomize_embedding_weights	remove_diacritics	save_metric	save_min_epoch	shift_target	shuffle_batches	sort_data_by_length	subword_pooling	target_only	tokenize_n_chars	torch_random_seed	train_base_model	train_file	train_size	use_character_tokenization	dev_acc	dev_loss	dev_size	epochs_run	exception	gpu	node	parameters	running_time	start_time	train_acc	train_loss	train_acc_list	dev_F_score	dev_acc_list	test_F_score	test_acc	experiment_dir
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	256718313	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	2000011177	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.815	[0.6447075605392456, 0.5991538465023041, 0.5755380392074585, 0.5507133305072784, 0.5348843187093735, 0.524359405040741, 0.5136240869760513, 0.5116558969020844, 0.4964993894100189, 0.5180225372314453, 0.5127230286598206, 0.5319520682096481, 0.5341377258300781, 0.5630561411380768, 0.5463451743125916, 0.5794037878513336, 0.6090351045131683, 0.5952942073345184, 0.5886246263980865, 0.6030703783035278, 0.6198673248291016, 0.6456573903560638, 0.6327122747898102]	200	23		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.872729	2021-11-16 15:04:41.989770	[0.5625, 0.6975, 0.748, 0.791, 0.8225, 0.8465, 0.875, 0.8925, 0.911, 0.9225, 0.933, 0.9455, 0.9505, 0.9555, 0.9665, 0.9725, 0.977, 0.979, 0.983, 0.9905, 0.991, 0.992, 0.9925]	[0.6795703396201134, 0.6028474718332291, 0.5393069256097078, 0.4781898073852062, 0.42548982985317707, 0.37215347588062286, 0.33507143519818783, 0.2977180518209934, 0.2618716210126877, 0.23184312880039215, 0.20786887221038342, 0.18501525605097413, 0.16999527905136347, 0.15465065324679017, 0.1342677199281752, 0.11954901367425919, 0.10826900042593479, 0.10155451134778559, 0.0842738093342632, 0.07422527158632874, 0.06870273500680923, 0.06376611976884305, 0.05652494425885379]	[0.5625, 0.6975, 0.748, 0.791, 0.8225, 0.8465, 0.875, 0.8925, 0.911, 0.9225, 0.933, 0.9455, 0.9505, 0.9555, 0.9665, 0.9725, 0.977, 0.979, 0.983, 0.9905, 0.991, 0.992, 0.9925]	0.8148843026891808	[0.62, 0.695, 0.71, 0.705, 0.735, 0.74, 0.74, 0.75, 0.77, 0.77, 0.765, 0.76, 0.765, 0.77, 0.79, 0.78, 0.785, 0.79, 0.79, 0.795, 0.775, 0.78, 0.775]	0.794584032666149	0.795	/home1/morph/botond/exps/hung/bert_bow/0000
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	544958972	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	2116644787	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.96	[0.13316470012068748, 0.12303175777196884, 0.1207466572523117, 0.12533459067344666, 0.12436938285827637, 0.11968466639518738, 0.12246453762054443, 0.13771314918994904, 0.14115989953279495, 0.15953417122364044]	200	10		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:02.967908	2021-11-16 15:04:50.305609	[0.896, 0.962, 0.9675, 0.973, 0.98, 0.983, 0.983, 0.9835, 0.988, 0.988]	[0.3293659766204655, 0.10536323743872344, 0.08319732989184558, 0.07193145295605063, 0.06221390690188855, 0.055240253801457584, 0.051771214115433395, 0.04837250639684498, 0.04356019361875951, 0.03750644554384053]	[0.896, 0.962, 0.9675, 0.973, 0.98, 0.983, 0.983, 0.9835, 0.988, 0.988]	0.9599959995999598	[0.96, 0.945, 0.955, 0.95, 0.95, 0.96, 0.955, 0.945, 0.95, 0.935]	0.93	0.93	/home1/morph/botond/exps/hung/bert_bow/0001
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	196383754	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	1260960811	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.885	[0.5872914791107178, 0.48985208570957184, 0.3800577372312546, 0.3048991560935974, 0.279755100607872, 0.2573491930961609, 0.253331795334816, 0.24466127902269363, 0.24240104854106903, 0.23754572123289108, 0.2703506350517273, 0.24006403982639313, 0.27185146510601044, 0.269784614443779, 0.2746524512767792, 0.2677572965621948, 0.27137331664562225, 0.28265661001205444, 0.29819871485233307, 0.28648535907268524, 0.2821652293205261, 0.2990349978208542, 0.2999493479728699]	200	23		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:05.028984	2021-11-16 15:04:56.756695	[0.6175, 0.782, 0.851, 0.8985, 0.9215, 0.9375, 0.944, 0.956, 0.9645, 0.968, 0.97, 0.9755, 0.9785, 0.986, 0.992, 0.997, 0.995, 0.997, 0.997, 0.999, 0.9995, 0.999, 0.999]	[0.6511925682425499, 0.5083521641790867, 0.3872189801186323, 0.3021789286285639, 0.24320104904472828, 0.19902558624744415, 0.1707953060977161, 0.14663704857230186, 0.12376709608361125, 0.11116511607542634, 0.10134126292541623, 0.08460604585707188, 0.07334573683328927, 0.06404872564598918, 0.05331951822154224, 0.0451909372350201, 0.0410464113811031, 0.035266040824353695, 0.030968790815677494, 0.027217063528951257, 0.023482870019506663, 0.021572182420641184, 0.01947231445228681]	[0.6175, 0.782, 0.851, 0.8985, 0.9215, 0.9375, 0.944, 0.956, 0.9645, 0.968, 0.97, 0.9755, 0.9785, 0.986, 0.992, 0.997, 0.995, 0.997, 0.997, 0.999, 0.9995, 0.999, 0.999]	0.8848589522164652	[0.695, 0.765, 0.855, 0.855, 0.875, 0.88, 0.89, 0.885, 0.895, 0.9, 0.89, 0.91, 0.89, 0.9, 0.91, 0.91, 0.91, 0.915, 0.905, 0.9, 0.91, 0.905, 0.91]	0.8849971249281232	0.885	/home1/morph/botond/exps/hung/bert_bow/0002
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	2141061174	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	573361626	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.995	[0.181826651096344, 0.11349304020404816, 0.056898580864071846, 0.045972324907779694, 0.04000132530927658, 0.03853033855557442, 0.03484278544783592, 0.035918103531003, 0.03278049919754267, 0.03995020501315594, 0.031434410251677036, 0.031178864650428295, 0.035311343148350716, 0.03549576923251152, 0.03623543679714203, 0.03830424137413502]	200	16		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.362037	2021-11-16 15:05:05.443720	[0.9125, 0.974, 0.9825, 0.987, 0.989, 0.992, 0.993, 0.994, 0.995, 0.994, 0.9965, 0.9985, 0.9985, 0.9985, 0.999, 0.9995]	[0.30938233342021704, 0.09732142090797424, 0.05977864935994148, 0.04452216369099915, 0.037666595075279474, 0.03146146168000996, 0.026029122003819793, 0.021708804764784873, 0.0181584783422295, 0.015848584822379053, 0.01323779666563496, 0.010935844358755276, 0.009155311636277474, 0.00769248409778811, 0.006054032943211496, 0.0049460908776381984]	[0.9125, 0.974, 0.9825, 0.987, 0.989, 0.992, 0.993, 0.994, 0.995, 0.994, 0.9965, 0.9985, 0.9985, 0.9985, 0.999, 0.9995]	0.9949998749968749	[0.95, 0.96, 0.975, 0.985, 0.98, 0.98, 0.985, 0.99, 0.985, 0.99, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985]	0.9699729756781104	0.97	/home1/morph/botond/exps/hung/bert_bow/0003
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	257205087	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	546746176	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.6019900497512438	[1.0556179881095886, 1.0237995088100433, 0.9891282320022583, 0.962478756904602, 0.9745990931987762, 0.9476213455200195, 0.934540867805481, 0.9327800571918488, 0.9406134188175201, 0.9271551668643951, 0.9198769629001617, 0.9211851358413696, 0.9292762279510498, 0.9426130652427673, 0.9533961415290833, 0.9394460022449493, 0.9874334931373596, 1.0104517340660095, 0.9993830323219299, 0.9638371467590332, 0.9787032902240753, 0.9872130155563354, 1.0060482323169708, 0.9916735291481018, 1.0456519722938538, 1.0203092396259308, 1.0574570894241333, 1.0872827172279358, 1.0699626207351685, 1.0951963663101196, 1.1126140356063843, 1.119064450263977, 1.1391364932060242, 1.1405563950538635, 1.1866753697395325, 1.1730355024337769]	201	36		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:06.941076	2021-11-16 15:05:13.145453	[0.4147926036981509, 0.5572213893053474, 0.6091954022988506, 0.6521739130434783, 0.6931534232883558, 0.7311344327836082, 0.751624187906047, 0.7791104447776112, 0.7906046976511744, 0.8030984507746127, 0.8305847076461769, 0.8455772113943029, 0.862568715642179, 0.8700649675162418, 0.8830584707646177, 0.8920539730134932, 0.9070464767616192, 0.9180409795102449, 0.9190404797601199, 0.9305347326336831, 0.9465267366316842, 0.9555222388805598, 0.9575212393803099, 0.9585207396301849, 0.9650174912543729, 0.9700149925037481, 0.9780109945027486, 0.9810094952523738, 0.9845077461269365, 0.9870064967516242, 0.9905047476261869, 0.9900049975012494, 0.991504247876062, 0.9950024987506247, 0.9980009995002499, 0.9955022488755623]	[1.075336568057537, 0.9636202827095985, 0.8773645646870136, 0.8002812936902046, 0.7391530275344849, 0.686419203877449, 0.6351714823395014, 0.5850540138781071, 0.5592570006847382, 0.5188509318977594, 0.47486679069697857, 0.4477498438209295, 0.4196362067013979, 0.3901105970144272, 0.3675727378576994, 0.34245481342077255, 0.31628977321088314, 0.2994245747104287, 0.2804376259446144, 0.26275613345205784, 0.23843712452799082, 0.22532949969172478, 0.20965399779379368, 0.19847868662327528, 0.18096529599279165, 0.16817951574921608, 0.15610967949032784, 0.14199910731986165, 0.13160897558555007, 0.12263807840645313, 0.11356490990146995, 0.10644029779359698, 0.1008374523371458, 0.09145675855688751, 0.085245740134269, 0.08105677552521229]	[0.4147926036981509, 0.5572213893053474, 0.6091954022988506, 0.6521739130434783, 0.6931534232883558, 0.7311344327836082, 0.751624187906047, 0.7791104447776112, 0.7906046976511744, 0.8030984507746127, 0.8305847076461769, 0.8455772113943029, 0.862568715642179, 0.8700649675162418, 0.8830584707646177, 0.8920539730134932, 0.9070464767616192, 0.9180409795102449, 0.9190404797601199, 0.9305347326336831, 0.9465267366316842, 0.9555222388805598, 0.9575212393803099, 0.9585207396301849, 0.9650174912543729, 0.9700149925037481, 0.9780109945027486, 0.9810094952523738, 0.9845077461269365, 0.9870064967516242, 0.9905047476261869, 0.9900049975012494, 0.991504247876062, 0.9950024987506247, 0.9980009995002499, 0.9955022488755623]	0.6024391766218526	[0.5024875621890548, 0.527363184079602, 0.5174129353233831, 0.5522388059701493, 0.5174129353233831, 0.5373134328358209, 0.5522388059701493, 0.5671641791044776, 0.572139303482587, 0.6019900497512438, 0.6169154228855721, 0.5920398009950248, 0.5920398009950248, 0.6218905472636815, 0.6169154228855721, 0.6119402985074627, 0.6069651741293532, 0.6218905472636815, 0.5970149253731343, 0.6318407960199005, 0.6318407960199005, 0.6268656716417911, 0.6268656716417911, 0.6218905472636815, 0.6318407960199005, 0.6318407960199005, 0.6417910447761194, 0.6318407960199005, 0.6517412935323383, 0.6517412935323383, 0.6616915422885572, 0.6417910447761194, 0.6417910447761194, 0.6616915422885572, 0.6368159203980099, 0.6517412935323383]	0.5724209524825722	0.572139303482587	/home1/morph/botond/exps/hung/bert_bow/0004
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1657668117	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	925605917	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.9054726368159204	[0.4632503539323807, 0.3188108652830124, 0.25921590626239777, 0.24601219594478607, 0.23230034112930298, 0.23456352204084396, 0.2249366119503975, 0.23312098532915115, 0.23036261647939682, 0.2307191863656044, 0.2247651219367981, 0.22184906154870987, 0.24428605288267136, 0.22790200263261795, 0.22825752198696136, 0.22745508700609207]	201	16		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:03.814517	2021-11-16 15:05:23.370596	[0.7641179410294853, 0.888055972013993, 0.9245377311344328, 0.9400299850074962, 0.9465267366316842, 0.9565217391304348, 0.9590204897551224, 0.9640179910044977, 0.9700149925037481, 0.9705147426286856, 0.968015992003998, 0.9760119940029985, 0.9785107446276862, 0.9800099950024987, 0.9815092453773113, 0.9860069965017492]	[0.7013255748897791, 0.2972771134227514, 0.21207411028444767, 0.16484301909804344, 0.14433651929721236, 0.12678516237065196, 0.1129107722081244, 0.10819511162117124, 0.0914466418325901, 0.08715018350630999, 0.08729492034763098, 0.0752792228013277, 0.06906619458459318, 0.0646784754935652, 0.05983598786406219, 0.05200375383719802]	[0.7641179410294853, 0.888055972013993, 0.9245377311344328, 0.9400299850074962, 0.9465267366316842, 0.9565217391304348, 0.9590204897551224, 0.9640179910044977, 0.9700149925037481, 0.9705147426286856, 0.968015992003998, 0.9760119940029985, 0.9785107446276862, 0.9800099950024987, 0.9815092453773113, 0.9860069965017492]	0.9062002857320607	[0.8159203980099502, 0.8805970149253731, 0.8855721393034826, 0.8805970149253731, 0.9054726368159204, 0.9104477611940298, 0.9154228855721394, 0.9104477611940298, 0.9303482587064676, 0.9203980099502488, 0.9154228855721394, 0.9253731343283582, 0.8955223880597015, 0.9104477611940298, 0.9104477611940298, 0.9104477611940298]	0.9354409668491434	0.9353233830845771	/home1/morph/botond/exps/hung/bert_bow/0005
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1798495523	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	1757407080	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.85	[0.643045574426651, 0.5515861362218857, 0.5081715881824493, 0.4691352844238281, 0.4531030058860779, 0.44409191608428955, 0.4396529495716095, 0.4507454037666321, 0.43823783099651337, 0.47387781739234924, 0.45692862570285797, 0.46891719102859497, 0.4939028322696686, 0.46808865666389465, 0.48680904507637024, 0.487425297498703, 0.49154631793498993, 0.4982484132051468, 0.5072896629571915, 0.5154017060995102, 0.5643479228019714, 0.5459003895521164]	200	22		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.539261	2021-11-16 15:05:30.547775	[0.613, 0.798, 0.856, 0.8875, 0.9045, 0.917, 0.932, 0.9435, 0.952, 0.9555, 0.961, 0.964, 0.969, 0.969, 0.979, 0.9825, 0.9825, 0.986, 0.9905, 0.9905, 0.9885, 0.988]	[0.6514111943542957, 0.5142509564757347, 0.3945097215473652, 0.3153157066553831, 0.263632221147418, 0.23567428532987833, 0.2022253731265664, 0.18045708071440458, 0.1626178752630949, 0.14734681881964207, 0.13284852309152484, 0.12298393296077847, 0.11354186199605465, 0.10530945658683777, 0.09175090817734599, 0.08588492101989686, 0.08189958706498146, 0.07131453836336732, 0.06470566196367145, 0.06144623621366918, 0.05738292448222637, 0.05741967400535941]	[0.613, 0.798, 0.856, 0.8875, 0.9045, 0.917, 0.932, 0.9435, 0.952, 0.9555, 0.961, 0.964, 0.969, 0.969, 0.979, 0.9825, 0.9825, 0.986, 0.9905, 0.9905, 0.9885, 0.988]	0.849624060150376	[0.59, 0.72, 0.735, 0.75, 0.78, 0.8, 0.805, 0.815, 0.83, 0.795, 0.825, 0.815, 0.82, 0.83, 0.83, 0.825, 0.835, 0.835, 0.835, 0.84, 0.81, 0.82]	0.8749968749218731	0.875	/home1/morph/botond/exps/hung/bert_bow/0006
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1818833365	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	1095422659	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.97	[0.22020849585533142, 0.16072040051221848, 0.11928937956690788, 0.11694678664207458, 0.11512161046266556, 0.09162566065788269, 0.08769717440009117, 0.08350025117397308, 0.08422848954796791, 0.08667335286736488, 0.08228690177202225, 0.07716494426131248, 0.08929607272148132, 0.06934225931763649, 0.0854099728167057, 0.08136598020792007, 0.07630975544452667, 0.08486395329236984, 0.07642455771565437, 0.08170229569077492, 0.08006554841995239, 0.08556145802140236, 0.08670699968934059, 0.08417294546961784, 0.09223490208387375]	200	25		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:00:04.772622	2021-11-16 15:05:38.510587	[0.8455, 0.943, 0.9675, 0.9685, 0.9785, 0.981, 0.987, 0.9845, 0.9865, 0.9865, 0.9895, 0.994, 0.996, 0.9955, 0.9975, 0.9965, 0.9985, 0.998, 0.998, 0.999, 0.9995, 1.0, 0.9995, 1.0, 1.0]	[0.36480983067303896, 0.14730981970205903, 0.09686268563382328, 0.08405316504649818, 0.06831735535524786, 0.056402361835353076, 0.04591258999425918, 0.04453404969535768, 0.03842172177974135, 0.03805260919034481, 0.03506103029940277, 0.02443112089531496, 0.02231169119477272, 0.020175370096694678, 0.017099922930356115, 0.016306134522892535, 0.013789125892799348, 0.01273434012546204, 0.012193915841635317, 0.010696694589569233, 0.008485266982461326, 0.00744452110666316, 0.007304809085326269, 0.006318507686955854, 0.005267523185466416]	[0.8455, 0.943, 0.9675, 0.9685, 0.9785, 0.981, 0.987, 0.9845, 0.9865, 0.9865, 0.9895, 0.994, 0.996, 0.9955, 0.9975, 0.9965, 0.9985, 0.998, 0.998, 0.999, 0.9995, 1.0, 0.9995, 1.0, 1.0]	0.9699879951980792	[0.915, 0.93, 0.945, 0.95, 0.945, 0.955, 0.97, 0.975, 0.975, 0.975, 0.96, 0.96, 0.96, 0.965, 0.96, 0.96, 0.97, 0.96, 0.97, 0.965, 0.97, 0.965, 0.965, 0.965, 0.96]	0.949954959463517	0.95	/home1/morph/botond/exps/hung/bert_bow/0007
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	3469909	Adam	{}	True	False	False	dev_acc	0	0	True	True	first	False	0	2117106907	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.9	[0.5375997424125671, 0.4515598863363266, 0.41432423889636993, 0.38606832921504974, 0.37036024034023285, 0.3589802384376526, 0.35520080476999283, 0.3706611841917038, 0.388777419924736, 0.3907628059387207, 0.3979272246360779, 0.4057137072086334, 0.42364658415317535, 0.4568917900323868, 0.43696731328964233, 0.46530795097351074]	200	16		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:03.932058	2021-11-16 15:05:46.735044	[0.7221389305347327, 0.8850574712643678, 0.9215392303848076, 0.936031984007996, 0.9495252373813093, 0.95952023988006, 0.9625187406296851, 0.967016491754123, 0.9735132433783108, 0.9765117441279361, 0.9825087456271864, 0.9845077461269365, 0.9880059970014993, 0.9895052473763118, 0.991504247876062, 0.9920039980009995]	[0.6908504739403725, 0.34470300003886223, 0.24602418392896652, 0.19992779195308685, 0.16680350713431835, 0.14287954987958074, 0.12491816375404596, 0.11146703222766519, 0.09301812737248838, 0.08324679359793663, 0.07297578151337802, 0.06613849196583033, 0.05793098476715386, 0.05341545515693724, 0.04768037318717688, 0.04082419699989259]	[0.7221389305347327, 0.8850574712643678, 0.9215392303848076, 0.936031984007996, 0.9495252373813093, 0.95952023988006, 0.9625187406296851, 0.967016491754123, 0.9735132433783108, 0.9765117441279361, 0.9825087456271864, 0.9845077461269365, 0.9880059970014993, 0.9895052473763118, 0.991504247876062, 0.9920039980009995]	0.904092287805797	[0.755, 0.825, 0.855, 0.875, 0.87, 0.86, 0.865, 0.875, 0.87, 0.87, 0.88, 0.875, 0.87, 0.855, 0.87, 0.86]	0.9019217404205809	0.8905472636815921	/home1/morph/botond/exps/hung/bert_bow/0008
128	True	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	bert-base-multilingual-cased	1262030146	Adam	{}	True	False	False	dev_acc	0	0	True	True	last	False	0	1399152956	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.915	[0.49344150722026825, 0.33729204535484314, 0.2903985306620598, 0.26101186871528625, 0.26278630644083023, 0.2530979514122009, 0.25492359697818756, 0.25174520164728165, 0.2601007893681526, 0.2581634148955345, 0.25295764207839966, 0.2738739028573036, 0.2622349485754967, 0.2727320119738579, 0.2771812528371811]	200	15		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:00:03.854297	2021-11-16 15:05:54.364651	[0.665167416291854, 0.8705647176411794, 0.9175412293853074, 0.9375312343828086, 0.9560219890054973, 0.9585207396301849, 0.9665167416291854, 0.9715142428785607, 0.9750124937531235, 0.9750124937531235, 0.9780109945027486, 0.9795102448775612, 0.9845077461269365, 0.9855072463768116, 0.9865067466266867]	[0.7959968261420727, 0.40536147728562355, 0.26409623865038157, 0.20267443358898163, 0.1671251878142357, 0.14321662718430161, 0.12075992487370968, 0.10695749334990978, 0.09787084395065904, 0.09000607812777162, 0.08265443402342498, 0.07752669788897038, 0.06963024055585265, 0.06371479691006243, 0.056296124937944114]	[0.665167416291854, 0.8705647176411794, 0.9175412293853074, 0.9375312343828086, 0.9560219890054973, 0.9585207396301849, 0.9665167416291854, 0.9715142428785607, 0.9750124937531235, 0.9750124937531235, 0.9780109945027486, 0.9795102448775612, 0.9845077461269365, 0.9855072463768116, 0.9865067466266867]	0.9047333090874234	[0.825, 0.855, 0.875, 0.885, 0.885, 0.895, 0.89, 0.9, 0.89, 0.895, 0.895, 0.9, 0.89, 0.895, 0.89]	0.9367503836181396	0.9402985074626866	/home1/morph/botond/exps/hung/bert_bow/0009
