model	language	task	perturbation	probing_location	dev_acc	test_acc
mBERT	Afrikaans	number_noun	B$_2$	first	0.8485714285714285	0.8192857142857143
mBERT	Afrikaans	number_noun	B$_2$	last	0.9835714285714285	0.9521428571428572
mBERT	Afrikaans	number_noun	L$_2$	first	0.8921428571428571	0.86
mBERT	Afrikaans	number_noun	L$_2$	last	0.9757142857142858	0.9492857142857142
mBERT	Afrikaans	number_noun	R$_2$	first	0.8878571428571428	0.8292857142857143
mBERT	Afrikaans	number_noun	R$_2$	last	0.9842857142857142	0.9435714285714286
mBERT	Afrikaans	number_noun	TARG	first	0.8107142857142857	0.7057142857142856
mBERT	Afrikaans	number_noun	TARG	last	0.8135714285714286	0.6992857142857142
mBERT	Afrikaans	number_noun	mBERT-rand-subw	first	0.5978571428571428	0.5057142857142857
mBERT	Afrikaans	number_noun	mBERT-rand-subw	last	0.8278571428571428	0.79
mBERT	Afrikaans	number_noun	next1	first	0.8935714285714286	0.85
mBERT	Afrikaans	number_noun	permute	first	0.8285714285714285	0.8221428571428572
mBERT	Afrikaans	number_noun	permute	last	0.9507142857142856	0.9514285714285714
mBERT	Afrikaans	number_noun	prev1	last	0.9057142857142857	0.9157142857142857
mBERT	Afrikaans	number_noun		first	0.8835714285714287	0.8678571428571429
mBERT	Afrikaans	number_noun		last	0.9728571428571428	0.9450000000000001
mBERT	Albanian	case_noun	B$_2$	first	0.47214285714285714	0.525
mBERT	Albanian	case_noun	B$_2$	last	0.6321428571428571	0.6221428571428572
mBERT	Albanian	case_noun	L$_2$	first	0.4864285714285714	0.54
mBERT	Albanian	case_noun	L$_2$	last	0.6614285714285714	0.6478571428571429
mBERT	Albanian	case_noun	R$_2$	first	0.59	0.6357142857142858
mBERT	Albanian	case_noun	R$_2$	last	0.7078571428571429	0.7142857142857143
mBERT	Albanian	case_noun	TARG	first	0.7221428571428571	0.6721428571428572
mBERT	Albanian	case_noun	TARG	last	0.7121428571428571	0.6692857142857144
mBERT	Albanian	case_noun	mBERT-rand-subw	first	0.34285714285714286	0.325
mBERT	Albanian	case_noun	mBERT-rand-subw	last	0.5578571428571429	0.5314285714285715
mBERT	Albanian	case_noun	next1	first	0.5671428571428571	0.5985714285714285
mBERT	Albanian	case_noun	permute	first	0.38571428571428573	0.43714285714285717
mBERT	Albanian	case_noun	permute	last	0.54	0.5442857142857144
mBERT	Albanian	case_noun	prev1	last	0.5621428571428572	0.5700000000000001
mBERT	Albanian	case_noun		first	0.5814285714285715	0.5921428571428571
mBERT	Albanian	case_noun		last	0.7085714285714285	0.6964285714285714
mBERT	Albanian	case_propn	B$_2$	first	0.6879886282871358	0.6557142857142857
