batch_size	bow	commit_hash	dataset_class	dev_file	dropout	early_stopping_monitor	early_stopping_window	epochs	generate_empty_subdir	layer_pooling	lr_decay	mask_positions	min_epochs	mlp_layers	mlp_nonlinearity	model	model_name	numpy_random_seed	optimizer	optimizer_kwargs	overwrite_model	randomize_embedding_weights	remove_diacritics	save_metric	save_min_epoch	shift_target	shuffle_batches	sort_data_by_length	subword_pooling	target_only	tokenize_n_chars	torch_random_seed	train_base_model	train_file	train_size	use_character_tokenization	dev_acc	dev_loss	dev_size	epochs_run	exception	gpu	node	parameters	running_time	start_time	train_acc	train_loss	train_acc_list	dev_F_score	dev_acc_list	test_F_score	test_acc	experiment_dir
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	2104403399	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	211363138	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.61	[0.6997820734977722, 0.6990084052085876, 0.7040907442569733, 0.7074448764324188, 0.7176018953323364, 0.7203377485275269, 0.7340164482593536, 0.7288663983345032, 0.7340906262397766, 0.731911689043045, 0.7621483206748962, 0.746953547000885, 0.7965312004089355, 0.7999987304210663, 0.8035624027252197, 0.8269660770893097]	200	16		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:05:24.796233	2021-11-15 00:23:54.361605	[0.4945, 0.5765, 0.601, 0.6375, 0.651, 0.6775, 0.695, 0.7215, 0.7565, 0.777, 0.799, 0.784, 0.836, 0.8425, 0.8615, 0.8775]	[0.7105405330657959, 0.6765562295913696, 0.6603143066167831, 0.6441319175064564, 0.6289243847131729, 0.6104585230350494, 0.5889071449637413, 0.5626076310873032, 0.5347888246178627, 0.5053251627832651, 0.4758317098021507, 0.4656006973236799, 0.42141372710466385, 0.4041071254760027, 0.37708456069231033, 0.35016716830432415]	[0.4945, 0.5765, 0.601, 0.6375, 0.651, 0.6775, 0.695, 0.7215, 0.7565, 0.777, 0.799, 0.784, 0.836, 0.8425, 0.8615, 0.8775]	0.6096486838154338	[0.51, 0.5, 0.535, 0.55, 0.51, 0.52, 0.52, 0.56, 0.565, 0.61, 0.575, 0.59, 0.535, 0.555, 0.565, 0.58]	0.47575360419397117	0.48	/home1/morph/botond/exps/hung/rand/0000
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1456080145	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	44870250	False	/home1/morph/botond/hungarian_morph_probes/number_verb/Hungarian/train.tsv	2000	False	0.935	[0.505773663520813, 0.37391161918640137, 0.3369467556476593, 0.2893007695674896, 0.24545960128307343, 0.23131540417671204, 0.23665539920330048, 0.21576406806707382, 0.2220412865281105, 0.22460931539535522, 0.2264895886182785, 0.22900167852640152, 0.23101872205734253, 0.2624489888548851, 0.24906198680400848, 0.2396167889237404, 0.23774848133325577, 0.24345143139362335, 0.2530713677406311, 0.24872440099716187, 0.2780783027410507, 0.25650957971811295, 0.25843460857868195]	200	23		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:06:01.428802	2021-11-15 00:30:54.056443	[0.6845, 0.848, 0.9015, 0.9255, 0.9395, 0.958, 0.9635, 0.966, 0.97, 0.975, 0.979, 0.9795, 0.985, 0.986, 0.9825, 0.987, 0.9935, 0.992, 0.9935, 0.9955, 0.995, 0.995, 0.9965]	[0.6082209870219231, 0.40764175169169903, 0.2952455384656787, 0.23584716022014618, 0.18404002441093326, 0.1484867874532938, 0.12318346882238984, 0.1083891224116087, 0.09817366814240813, 0.08527071960270405, 0.0722954764496535, 0.06848699762485921, 0.05997315258719027, 0.05273467942606658, 0.055822571041062474, 0.045843424974009395, 0.03677317569963634, 0.03371675405651331, 0.031390621850732714, 0.028217753337230533, 0.02608805982163176, 0.02549954189453274, 0.023217945999931544]	[0.6845, 0.848, 0.9015, 0.9255, 0.9395, 0.958, 0.9635, 0.966, 0.97, 0.975, 0.979, 0.9795, 0.985, 0.986, 0.9825, 0.987, 0.9935, 0.992, 0.9935, 0.9955, 0.995, 0.995, 0.9965]	0.934998374959374	[0.77, 0.84, 0.855, 0.88, 0.91, 0.9, 0.905, 0.925, 0.92, 0.91, 0.91, 0.92, 0.93, 0.9, 0.925, 0.91, 0.935, 0.93, 0.91, 0.935, 0.905, 0.925, 0.925]	0.91	0.91	/home1/morph/botond/exps/hung/rand/0001
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1013370534	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	263377125	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.59	[0.6885929107666016, 0.6891145408153534, 0.6789053976535797, 0.6848794221878052, 0.683464527130127, 0.6849599778652191, 0.7127294838428497, 0.729970395565033, 0.7331480383872986, 0.7428556084632874]	200	10		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:01:20.678938	2021-11-15 00:37:55.481975	[0.502, 0.616, 0.633, 0.666, 0.6945, 0.706, 0.75, 0.7425, 0.783, 0.8015]	[0.6987333297729492, 0.6673791259527206, 0.6466597989201546, 0.6183492317795753, 0.5947135761380196, 0.5717722661793232, 0.5427464582026005, 0.5259713884443045, 0.48764773085713387, 0.4595005214214325]	[0.502, 0.616, 0.633, 0.666, 0.6945, 0.706, 0.75, 0.7425, 0.783, 0.8015]	0.58497823666363	[0.565, 0.54, 0.545, 0.59, 0.54, 0.52, 0.515, 0.55, 0.555, 0.54]	0.5819798040845106	0.585	/home1/morph/botond/exps/hung/rand/0002
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	71695742	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	86329355	False	/home1/morph/botond/hungarian_morph_probes/number_adj/Hungarian/train.tsv	2000	False	0.92	[0.42635028064250946, 0.35079987347126007, 0.3028637021780014, 0.26275651156902313, 0.23829100281000137, 0.22406023740768433, 0.21052128821611404, 0.2121892347931862, 0.20315198600292206, 0.20628760010004044, 0.2152792066335678, 0.21288180351257324, 0.2044917494058609, 0.20829860121011734, 0.2140275090932846, 0.21325095742940903]	200	16		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:02:09.481799	2021-11-15 00:40:04.204098	[0.722, 0.8415, 0.871, 0.8975, 0.9225, 0.937, 0.943, 0.9445, 0.955, 0.9625, 0.967, 0.968, 0.977, 0.981, 0.9795, 0.9855]	[0.544204780831933, 0.36428227834403515, 0.30381592735648155, 0.25295882299542427, 0.2142664361745119, 0.18513243459165096, 0.16220853151753545, 0.1482445984147489, 0.12844191072508693, 0.11505065998062491, 0.10320766316726804, 0.09280406381003559, 0.08260589558631182, 0.07370145758613944, 0.068988534854725, 0.06197554036043584]	[0.722, 0.8415, 0.871, 0.8975, 0.9225, 0.937, 0.943, 0.9445, 0.955, 0.9625, 0.967, 0.968, 0.977, 0.981, 0.9795, 0.9855]	0.9199919991999201	[0.77, 0.855, 0.84, 0.915, 0.915, 0.905, 0.91, 0.915, 0.92, 0.915, 0.91, 0.905, 0.91, 0.895, 0.905, 0.895]	0.8949763696831787	0.895	/home1/morph/botond/exps/hung/rand/0003
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1196613388	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	235109146	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.43781094527363185	[1.0926956534385681, 1.0824010968208313, 1.0964018106460571, 1.1011478304862976, 1.096511423587799, 1.1037148833274841, 1.1259002685546875, 1.1401081681251526, 1.1280570030212402, 1.1806650161743164]	201	10		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:01:16.007196	2021-11-15 00:43:10.178545	[0.35582208895552225, 0.4447776111944028, 0.4862568715642179, 0.5137431284357821, 0.5432283858070964, 0.567216391804098, 0.5807096451774113, 0.6126936531734133, 0.631184407796102, 0.6361819090454772]	[1.1152649149298668, 1.0594288483262062, 1.0302982851862907, 1.0033634155988693, 0.9736189730465412, 0.9412922635674477, 0.9181322120130062, 0.8867973163723946, 0.8639528863132, 0.8359878174960613]	[0.35582208895552225, 0.4447776111944028, 0.4862568715642179, 0.5137431284357821, 0.5432283858070964, 0.567216391804098, 0.5807096451774113, 0.6126936531734133, 0.631184407796102, 0.6361819090454772]	0.41499856877632907	[0.43781094527363185, 0.43781094527363185, 0.4079601990049751, 0.40298507462686567, 0.43283582089552236, 0.4129353233830846, 0.39303482587064675, 0.38308457711442784, 0.39303482587064675, 0.3880597014925373]	0.3044836664517515	0.3333333333333333	/home1/morph/botond/exps/hung/rand/0004
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1288676006	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	1430071343	False	/home1/morph/botond/hungarian_morph_probes/person_verb/Hungarian/train.tsv	2001	False	0.9402985074626866	[0.8719837665557861, 0.6616854965686798, 0.5493368208408356, 0.44749951362609863, 0.4086277335882187, 0.38564468920230865, 0.3595462292432785, 0.32224084436893463, 0.2755318731069565, 0.2605624794960022, 0.2506047636270523, 0.23986857384443283, 0.22897681593894958, 0.23379286378622055, 0.20440641045570374, 0.19928478449583054, 0.2027447521686554, 0.1894245222210884, 0.20256052166223526, 0.18525250256061554, 0.18710459023714066, 0.17909637838602066, 0.195821151137352, 0.18645388633012772, 0.18582338094711304, 0.1800353080034256, 0.18390419334173203, 0.18379588425159454, 0.18074564635753632, 0.18550565093755722, 0.1802269071340561, 0.1913447380065918, 0.1793675199151039, 0.18594975769519806, 0.17783568054437637, 0.19347505271434784, 0.18955738842487335, 0.1879362016916275]	201	38		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:06:55.484772	2021-11-15 00:45:17.796644	[0.4992503748125937, 0.7286356821589205, 0.8170914542728636, 0.8645677161419291, 0.9030484757621189, 0.9065467266366817, 0.927536231884058, 0.9270364817591205, 0.9435282358820589, 0.9485257371314343, 0.952023988005997, 0.9615192403798101, 0.9600199900049975, 0.9715142428785607, 0.9725137431284357, 0.975512243878061, 0.9780109945027486, 0.9820089955022488, 0.9845077461269365, 0.9830084957521239, 0.9875062468765617, 0.9905047476261869, 0.9895052473763118, 0.9875062468765617, 0.991504247876062, 0.991504247876062, 0.991504247876062, 0.991504247876062, 0.9920039980009995, 0.993503248375812, 0.992503748125937, 0.9920039980009995, 0.993503248375812, 0.992503748125937, 0.9945027486256871, 0.993503248375812, 0.9940029985007496, 0.993503248375812]	[1.0218855328857899, 0.7332995682954788, 0.5421041585505009, 0.42962475307285786, 0.345783201046288, 0.30664675403386354, 0.2609504759311676, 0.2356088114902377, 0.2046928033232689, 0.18277925020083785, 0.16743011260405183, 0.14615228166803718, 0.1394386850297451, 0.11936020385473967, 0.1101540788076818, 0.100370520260185, 0.0905406812671572, 0.08159594610333443, 0.07708456669934094, 0.07304355036467314, 0.06566626415587962, 0.058254154631868005, 0.05536534357815981, 0.0531866573728621, 0.04841749707702547, 0.044833776890300214, 0.04182790732011199, 0.03904454200528562, 0.03740917565301061, 0.03329610137734562, 0.03496517369057983, 0.033786110929213464, 0.031606015108991414, 0.02916680567432195, 0.027290188940241933, 0.028333995142020285, 0.025772658991627395, 0.024624276906251907]	[0.4992503748125937, 0.7286356821589205, 0.8170914542728636, 0.8645677161419291, 0.9030484757621189, 0.9065467266366817, 0.927536231884058, 0.9270364817591205, 0.9435282358820589, 0.9485257371314343, 0.952023988005997, 0.9615192403798101, 0.9600199900049975, 0.9715142428785607, 0.9725137431284357, 0.975512243878061, 0.9780109945027486, 0.9820089955022488, 0.9845077461269365, 0.9830084957521239, 0.9875062468765617, 0.9905047476261869, 0.9895052473763118, 0.9875062468765617, 0.991504247876062, 0.991504247876062, 0.991504247876062, 0.991504247876062, 0.9920039980009995, 0.993503248375812, 0.992503748125937, 0.9920039980009995, 0.993503248375812, 0.992503748125937, 0.9945027486256871, 0.993503248375812, 0.9940029985007496, 0.993503248375812]	0.940171132066058	[0.6716417910447762, 0.746268656716418, 0.8159203980099502, 0.8656716417910447, 0.8805970149253731, 0.8706467661691543, 0.8557213930348259, 0.8955223880597015, 0.8905472636815921, 0.8805970149253731, 0.8905472636815921, 0.8855721393034826, 0.9253731343283582, 0.8955223880597015, 0.9203980099502488, 0.9104477611940298, 0.9203980099502488, 0.9203980099502488, 0.9253731343283582, 0.9303482587064676, 0.9203980099502488, 0.9203980099502488, 0.9303482587064676, 0.9353233830845771, 0.9154228855721394, 0.9353233830845771, 0.9303482587064676, 0.9203980099502488, 0.9253731343283582, 0.9402985074626866, 0.9303482587064676, 0.9353233830845771, 0.9353233830845771, 0.9303482587064676, 0.9402985074626866, 0.9253731343283582, 0.9353233830845771, 0.9303482587064676]	0.9304152637485972	0.9303482587064676	/home1/morph/botond/exps/hung/rand/0005
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1697097288	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	1840947537	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.56	[0.6876703500747681, 0.6978648900985718, 0.7104027569293976, 0.7141786217689514, 0.7126895785331726, 0.734041839838028, 0.7390851974487305, 0.7557424902915955, 0.7760441899299622, 0.7809810042381287]	200	10		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:01:34.737026	2021-11-15 00:53:19.764549	[0.5165, 0.594, 0.602, 0.637, 0.661, 0.702, 0.732, 0.7485, 0.7665, 0.789]	[0.6974440515041351, 0.6706709787249565, 0.6558490060269833, 0.6378402262926102, 0.6196971349418163, 0.5911911353468895, 0.5622802004218102, 0.5334916561841965, 0.5173367541283369, 0.47488917224109173]	[0.5165, 0.594, 0.602, 0.637, 0.661, 0.702, 0.732, 0.7485, 0.7665, 0.789]	0.5512035903712771	[0.54, 0.54, 0.55, 0.54, 0.54, 0.53, 0.54, 0.56, 0.52, 0.51]	0.46525425886786687	0.475	/home1/morph/botond/exps/hung/rand/0006
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1379232237	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	2005228436	False	/home1/morph/botond/hungarian_morph_probes/verbform_verb/Hungarian/train.tsv	2000	False	0.955	[0.411508172750473, 0.2838823199272156, 0.21538189053535461, 0.18594063818454742, 0.1784408614039421, 0.19182173162698746, 0.1714528501033783, 0.16255218535661697, 0.15697160363197327, 0.17201366275548935, 0.17131319642066956, 0.16244221478700638, 0.16532548516988754, 0.179850235581398, 0.1690056324005127, 0.16901136934757233]	200	16		Tesla V100-PCIE-16GB	cn04	38565	0 days 00:03:18.414092	2021-11-15 00:55:30.995764	[0.74, 0.8565, 0.911, 0.9235, 0.9425, 0.952, 0.955, 0.955, 0.967, 0.966, 0.972, 0.9745, 0.9745, 0.9785, 0.9795, 0.981]	[0.5358454324305058, 0.35102519392967224, 0.25479453057050705, 0.21337488759309053, 0.170151861384511, 0.15000378806144, 0.1367424544878304, 0.126197868026793, 0.10442875768058002, 0.09814956085756421, 0.08765231561847031, 0.08219444612041116, 0.07975387293845415, 0.07032535166945308, 0.06429676990956068, 0.05908990581519902]	[0.74, 0.8565, 0.911, 0.9235, 0.9425, 0.952, 0.955, 0.955, 0.967, 0.966, 0.972, 0.9745, 0.9745, 0.9785, 0.9795, 0.981]	0.9549898727213622	[0.8, 0.895, 0.93, 0.94, 0.935, 0.93, 0.94, 0.955, 0.945, 0.945, 0.945, 0.945, 0.94, 0.945, 0.945, 0.945]	0.9149808706959066	0.915	/home1/morph/botond/exps/hung/rand/0007
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	2010543548	Adam	{}	True	True	False	dev_acc	0	0	True	True	first	False	0	322316862	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.645	[0.7416415512561798, 0.744070827960968, 0.7318203747272491, 0.7277238667011261, 0.7354144155979156, 0.7542329728603363, 0.7636821568012238, 0.7843361496925354, 0.8098890483379364, 0.7910320162773132]	200	10		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:01:59.095735	2021-11-15 00:59:58.275817	[0.55872063968016, 0.697151424287856, 0.7531234382808596, 0.7766116941529235, 0.8115942028985508, 0.8205897051474262, 0.8330834582708646, 0.8405797101449275, 0.8565717141429285, 0.8770614692653673]	[0.831938523799181, 0.6300299167633057, 0.5473111867904663, 0.5008907448500395, 0.46380456909537315, 0.43287494219839573, 0.4079282898455858, 0.38509648106992245, 0.36426040157675743, 0.3404741194099188]	[0.55872063968016, 0.697151424287856, 0.7531234382808596, 0.7766116941529235, 0.8115942028985508, 0.8205897051474262, 0.8330834582708646, 0.8405797101449275, 0.8565717141429285, 0.8770614692653673]	0.6855422215354915	[0.595, 0.645, 0.615, 0.61, 0.61, 0.605, 0.61, 0.61, 0.615, 0.61]	0.6310699588477365	0.5870646766169154	/home1/morph/botond/exps/hung/rand/0008
128	False	144019f3483686cda974b27cc2a027f88027b19d	SentenceProberDataset	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/dev.tsv	0.2	both	5	200	True	weighted_sum	False	[]	0	[50]	ReLU	SentenceRepresentationProber	xlm-roberta-base	1299389942	Adam	{}	True	True	False	dev_acc	0	0	True	True	last	False	0	1719294807	False	/home1/morph/botond/hungarian_morph_probes/degree_adj/Hungarian/train.tsv	2001	False	0.695	[0.839032918214798, 0.7616185247898102, 0.7593738734722137, 0.7305894196033478, 0.7548820674419403, 0.7852679789066315, 0.7273856997489929, 0.7538128197193146, 0.708520233631134, 0.7681472599506378, 0.7294862270355225, 0.8099209070205688, 0.7999889850616455, 0.7175950109958649, 0.8783817291259766, 0.7529641091823578, 0.8127213716506958, 0.7811855971813202, 0.806045800447464, 0.7722317576408386, 0.7596594095230103, 0.8447616994380951, 0.8115838170051575, 0.8075167238712311, 0.8229511678218842, 0.8782671391963959, 0.8789522647857666]	200	27		Tesla V100-PCIE-16GB	cn04	38616	0 days 00:08:05.250454	2021-11-15 01:03:36.300142	[0.5247376311844077, 0.6546726636681659, 0.6781609195402298, 0.6926536731634183, 0.712143928035982, 0.7271364317841079, 0.7411294352823589, 0.7486256871564217, 0.7561219390304847, 0.7691154422788605, 0.7756121939030485, 0.7631184407796102, 0.7931034482758621, 0.792103948025987, 0.8020989505247377, 0.7996001999000499, 0.8125937031484258, 0.8250874562718641, 0.8235882058970515, 0.8275862068965517, 0.8370814592703648, 0.8350824587706147, 0.8375812093953023, 0.8505747126436781, 0.8510744627686156, 0.8590704647676162, 0.841079460269865]	[0.9650629796087742, 0.7560416087508202, 0.6729936376214027, 0.6231901198625565, 0.5900877378880978, 0.5661610048264265, 0.5446862019598484, 0.5312995165586472, 0.5101083591580391, 0.48966591246426105, 0.47891255654394627, 0.4794185385107994, 0.44702099077403545, 0.44151799753308296, 0.4316365495324135, 0.4249688535928726, 0.4099916908890009, 0.39547951333224773, 0.3875396456569433, 0.37318019568920135, 0.3661299850791693, 0.3642854727804661, 0.3612659554928541, 0.3432184215635061, 0.34685622341930866, 0.3336509773507714, 0.33432593010365963]	[0.5247376311844077, 0.6546726636681659, 0.6781609195402298, 0.6926536731634183, 0.712143928035982, 0.7271364317841079, 0.7411294352823589, 0.7486256871564217, 0.7561219390304847, 0.7691154422788605, 0.7756121939030485, 0.7631184407796102, 0.7931034482758621, 0.792103948025987, 0.8020989505247377, 0.7996001999000499, 0.8125937031484258, 0.8250874562718641, 0.8235882058970515, 0.8275862068965517, 0.8370814592703648, 0.8350824587706147, 0.8375812093953023, 0.8505747126436781, 0.8510744627686156, 0.8590704647676162, 0.841079460269865]	0.6621157839959888	[0.575, 0.645, 0.595, 0.605, 0.585, 0.61, 0.645, 0.615, 0.65, 0.615, 0.67, 0.61, 0.63, 0.68, 0.6, 0.68, 0.63, 0.68, 0.645, 0.67, 0.67, 0.675, 0.65, 0.655, 0.695, 0.625, 0.635]	0.6313386557288997	0.6666666666666666	/home1/morph/botond/exps/hung/rand/0009
